sujet;sexe;age;profPere;profMere;etablissement;classes;scolarite;fran;math;examinateur;vocComp;vocExpr;morpho;sens;vocabulaire;phrases;total
1;1;11,4;Intermédiaire;Sans activité;A;6;AN;79,3;79,2;40;62;64;27;19;126;46;172
2;0;12,1;Ouvrier;Employés;A;6;AR;70,1;62,3;48;50;40;31;34;90;65;155
3;1;13,1;Employés;Employés;A;6;AR;67,8;66,2;40;78;63;34;33;141;67;208
4;1;12,7;Employés;Employés;A;6;AR;58,6;46,8;47;52;37;30;26;89;56;145
5;1;11,6;CadresProfSup;Sans activité;A;6;AN;70,1;79,2;47;70;51;36;31;121;67;188
6;1;11,6;Employés;Sans activité;A;6;AN;55,2;55,8;46;48;46;19;19;94;38;132
7;1;11,4;Agriculteur;Agriculteur;A;6;AN;67,8;49,4;37;52;34;33;31;86;64;150
8;0;11,2;Agriculteur;Intermédiaire;A;6;AN;52,9;35,1;48;50;26;8;28;76;36;112
9;1;11,5;Employés;Employés;A;6;AN;48,3;53,2;47;30;17;22;14;47;36;83
10;1;11,5;CadresProfSup;CadresProfSup;A;6;AN;95,4;93,5;37;72;69;39;38;141;77;218
11;1;12,5;Employés;Intermédiaire;A;6;AR;49,4;40,3;48;62;29;16;30;91;46;137
12;0;11,4;Employés;Intermédiaire;A;6;AN;73,6;71,4;46;65;60;24;36;125;60;185
13;0;11,6;Employés;Sans activité;A;6;AN;69;55,8;47;68;40;23;16;108;39;147
14;0;11,2;CadresProfSup;Intermédiaire;A;6;AN;58,6;39;46;35;54;23;26;89;49;138
16;1;11,3;Intermédiaire;Employés;A;6;AN;68,8;65,5;48;48;46;32;29;94;61;155
17;1;11,3;Ouvrier;Employés;A;6;AN;59,8;66,2;37;55;17;18;17;72;35;107
18;0;11,8;Employés;Employés;A;6;AN;80,5;84,4;31;40;31;34;31;71;65;136
19;1;12,4;Employés;Sans activité;A;6;AR;70,1;79,2;32;52;34;31;31;86;62;148
20;0;12,9;Employés;Employés;A;6;AR;31;35;33;40;0;12;13;40;25;65
21;0;13,9;Sans activité;Sans activité;A;6;AR;59,8;37,7;38;78;57;30;34;135;64;199
22;0;11,8;Sans activité;Employés;A;6;AN;70,2;79,2;32;45;37;27;24;82;51;133
23;1;11,7;Employés;Intermédiaire;A;6;AN;56,3;49,4;38;50;39;28;28;89;56;145
24;1;12,7;Sans activité;Agriculteur;A;6;AR;57,5;62,3;36;45;40;28;28;85;56;141
25;1;11,8;Employés;Employés;A;6;AN;65,5;67,5;34;35;29;28;31;64;59;123
26;0;12,3;Intermédiaire;Intermédiaire;A;6;AR;56,6;63,6;33;52;26;20;22;78;42;120
27;0;11,7;Retraité;Sans activité;A;6;AN;72,4;51,9;31;58;34;28;30;92;58;150
28;0;11,2;Ouvrier;Employés;A;6;AN;70,1;50,6;38;58;31;28;31;89;59;148
29;1;11,2;Employés;Employés;A;6;AN;49,4;80,5;34;32;17;20;19;49;39;88
30;0;13;Employés;Employés;A;6;AR;57,5;71,4;32;55;31;17;24;86;41;127
31;1;11,6;CadresProfSup;CadresProfSup;A;6;AN;42,5;46,8;36;50;26;16;15;76;31;107
32;1;11,6;CadresProfSup;Retraité;A;6;AN;73,6;89,6;31;52;20;33;29;72;62;134
33;1;12,8;Ouvrier;Intermédiaire;A;6;AR;48,3;63,6;34;40;14;27;28;54;55;109
34;1;11,7;Employés;Employés;A;6;AN;66,7;50,6;34;35;40;37;28;75;65;140
35;0;13,1;Employés;Employés;A;6;AR;49,4;33,8;32;25;11;13;15;36;28;64
36;1;12,1;CadresProfSup;Intermédiaire;D;6;AN;84;83,3;10;60;49;33;41;109;74;183
37;1;10,6;CadresProfSup;Sans activité;D;6;AN;84,7;89,7;5;60;54;39;38;114;77;191
39;0;11,6;Ouvrier;Ouvrier;C;6;AN;48;40;26;32;29;22;21;61;43;104
40;1;11,9;CadresProfSup;CadresProfSup;C;6;AN;76;77;26;68;69;40;40;137;80;217
41;1;11,5;CadresProfSup;CadresProfSup;C;6;AN;67;86;26;48;49;28;25;97;53;150
42;1;12,6;CadresProfSup;Sans activité;C;6;AR;64;68;25;52;37;40;38;89;78;167
43;0;12,3;Intermédiaire;Ouvrier;C;6;AN;84;87;25;65;51;31;38;116;69;185
44;1;13,3;Agriculteur;Ouvrier;C;6;AR;52;55;25;62;31;37;32;93;69;162
45;0;12,2;Intermédiaire;Sans activité;C;6;AN;92;78;25;60;49;41;41;109;82;191
46;0;13,3;Ouvrier;Ouvrier;C;6;AR;57;61;23;45;37;19;28;82;47;129
47;1;12,2;Ouvrier;Ouvrier;C;6;AN;47;58;23;32;31;29;32;63;61;124
48;0;11,5;Ouvrier;Ouvrier;C;6;AN;54;44;23;58;29;14;25;87;39;126
49;1;12,3;Employés;Employés;C;6;AN;61;84;23;65;49;33;39;114;72;186
50;0;12,3;Intermédiaire;Intermédiaire;C;6;AN;62;60;24;45;37;27;34;82;61;143
51;1;12,2;Intermédiaire;Sans activité;C;6;AN;69;69;24;42;43;35;40;85;75;160
52;0;13,3;Employés;Ouvrier;C;6;AR;52;34;24;38;17;16;19;55;35;90
53;0;12,5;Ouvrier;Sans activité;C;6;AN;52;51;24;38;11;32;28;49;60;109
54;1;12;Intermédiaire;Employés;C;6;AN;78;74;24;60;57;34;20;117;54;171
55;1;11,6;Intermédiaire;ArtCommPME;C;6;AN;55;70;28;35;31;29;29;66;58;124
56;0;11,6;ArtCommPME;ArtCommPME;C;6;AN;69;47;28;60;43;24;18;103;42;145
57;1;12,8;Ouvrier;Ouvrier;C;6;AR;54;61;28;62;40;36;38;102;74;176
58;0;11,1;Employés;Employés;C;6;AN;64;60;28;50;26;32;32;76;64;140
59;1;12,2;Ouvrier;Ouvrier;C;6;AN;64;68;28;40;40;19;20;80;39;119
61;0;12,3;Employés;Sans activité;D;6;AN;74,1;84,6;11;60;57;22;29;117;51;168
62;1;12,2;CadresProfSup;Employés;D;6;AN;64,7;79,5;6;48;43;28;23;91;51;142
63;0;12,3;Employés;Employés;D;6;AN;83,5;80,8;10;60;54;29;38;114;67;181
65;1;13,4;Intermédiaire;Employés;D;6;AR;82,4;83,3;18;58;46;36;24;104;60;164
66;0;12,5;Sans activité;Employés;D;6;AR;70,6;69,2;10;42;26;31;26;68;57;125
67;0;12,8;Ouvrier;Ouvrier;D;6;AR;55,3;60,3;3;45;37;29;31;82;60;142
68;0;11,9;Employés;Intermédiaire;D;6;AN;70,6;55,1;6;52;51;18;24;103;42;145
69;1;11,6;Ouvrier;Employés;D;6;AN;32,9;26,9;19;40;40;17;22;80;39;119
70;1;12,5;CadresProfSup;Ouvrier;D;6;AR;62,4;39,7;6;62;49;20;28;111;48;159
71;0;12,2;Ouvrier;Sans activité;D;6;AN;54,1;46,2;2;42;43;30;28;85;58;143
72;0;12;Retraité;Employés;D;6;AN;64,7;79,5;11;50;43;26;29;93;55;148
73;1;12,3;Ouvrier;Intermédiaire;D;6;AN;70,6;75,6;8;65;49;34;33;114;67;181
76;1;11,9;Ouvrier;Employés;D;6;AN;65,9;60,3;8;65;46;31;32;111;63;174
77;1;11,8;CadresProfSup;Ouvrier;D;6;AN;76,6;66,7;19;68;69;29;31;137;60;197
79;0;11,7;CadresProfSup;Sans activité;D;6;AN;84,7;87,2;13;78;80;41;35;158;76;234
81;1;11,8;ArtCommPME;ArtCommPME;E;6;AN;49,4;59,7;49;40;29;22;13;69;35;104
83;0;11,8;Employés;Employés;E;6;AN;80,5;81,8;49;70;71;34;39;141;73;214
84;0;11,8;Ouvrier;Employés;E;6;AN;66,7;54,5;49;40;26;25;18;66;43;109
85;0;12,1;CadresProfSup;Ouvrier;E;6;AN;71,3;66;49;80;77;42;39;157;81;238
87;0;11,5;Ouvrier;Sans activité;E;6;AN;54;63,6;56;52;37;12;16;89;28;117
88;1;12,6;ArtCommPME;Ouvrier;E;6;AR;35,6;34;56;42;26;16;17;68;33;101
89;0;11,7;Employés;Sans activité;E;6;AN;63,2;33,8;56;55;37;29;25;92;54;146
90;0;12,2;Ouvrier;Sans activité;E;6;AN;74,7;93,5;56;75;80;36;31;155;67;222
91;1;12;Ouvrier;ArtCommPME;E;6;AN;79,3;89,6;27;65;49;31;37;114;68;182
