"id";"sex";"ageyr";"agemo";"school";"grade";"VisualPerception";"CubeTest";"LozengeTest";"ParagComprehension";"SentenceCompletion";"WordMeaning";"SpeedAddition";"SpeedCountingDots";"SpeedDiscLetters"
1;"M";13;1;"Pasteur";"7th";3,3333333;7,75;0,375;2,3333333;5,75;1,2857143;3,3913043;5,75;6,3611111
2;"F";13;7;"Pasteur";"7th";5,3333333;5,25;2,125;1,6666667;3;1,2857143;3,7826087;6,25;7,9166667
3;"F";13;1;"Pasteur";"7th";4,5;5,25;1,875;1;1,75;0,42857143;3,2608696;3,9;4,4166667
4;"M";13;2;"Pasteur";"7th";5,3333333;7,75;3;2,6666667;4,5;2,4285714;3;5,3;4,8611111
5;"F";12;2;"Pasteur";"7th";4,8333333;4,75;0,875;2,6666667;4;2,5714286;3,6956522;6,3;5,9166667
6;"F";14;1;"Pasteur";"7th";5,3333333;5;2,25;1;3;0,85714286;4,3478261;6,65;7,5
7;"M";12;1;"Pasteur";"7th";2,8333333;6;1;3,3333333;6;2,8571429;4,6956522;6,2;4,8611111
8;"F";12;2;"Pasteur";"7th";5,6666667;6,25;1,875;3,6666667;4,25;1,2857143;3,3913043;5,15;3,6666667
9;"F";13;0;"Pasteur";"7th";4,5;5,75;1,5;2,6666667;5,75;2,7142857;4,5217391;4,65;7,3611111
11;"F";12;5;"Pasteur";"7th";3,5;5,25;0,75;2,6666667;5;2,5714286;4,1304348;4,55;4,3611111
12;"M";12;2;"Pasteur";"7th";3,6666667;5,75;2;2;3,5;1,5714286;3,7391304;5,7;4,3055556
13;"M";12;11;"Pasteur";"7th";5,8333333;6;2,875;2,6666667;4,5;2,7142857;3,6956522;5,15;4,1388889
14;"F";12;7;"Pasteur";"7th";5,6666667;4,5;4,125;2,6666667;4;2,2857143;5,8695652;5,2;5,8611111
15;"F";12;8;"Pasteur";"7th";6;5,5;1,75;4,6666667;4;1,5714286;5,1304348;4,7;4,4444444
16;"M";12;6;"Pasteur";"7th";5,8333333;5,75;3,625;5;5,5;3;4;4,35;5,8611111
17;"F";12;1;"Pasteur";"7th";4,6666667;4,75;2,375;2,6666667;4,25;0,71428571;4,0869565;3,8;5,1388889
18;"F";14;11;"Pasteur";"7th";4,3333333;4,75;1,5;2;4;1,2857143;3,6956522;6,65;5,25
19;"M";13;5;"Pasteur";"7th";5;6,75;2,25;2;2,5;1,7142857;4;5,25;5,4444444
20;"F";12;8;"Pasteur";"7th";5,6666667;5,25;4;4,3333333;5,25;3,7142857;3,9130435;4,85;5,75
21;"F";12;3;"Pasteur";"7th";6,3333333;8,75;3;3,6666667;3,75;2,5714286;3,4782609;5,35;4,9166667
22;"M";14;10;"Pasteur";"7th";5,8333333;8;2;1,6666667;2,5;0,57142857;2,6086957;4,6;5,3888889
23;"M";12;9;"Pasteur";"7th";6,6666667;8,5;4,125;2;3,25;2,1428571;4,4782609;5,45;7
24;"M";12;11;"Pasteur";"7th";5;6,25;1,875;3,3333333;5,75;3,1428571;3,4782609;4,6;5
25;"F";12;8;"Pasteur";"7th";3,8333333;5,5;1,625;2,6666667;3;1;5,826087;5,3;6,7777778
26;"M";12;3;"Pasteur";"7th";5,6666667;5,5;1,25;2,3333333;3,75;1,2857143;4,6956522;4,6;4,1388889
27;"M";12;7;"Pasteur";"7th";5,3333333;4;3,375;1,6666667;3,5;1,4285714;5,7391304;6,25;4,3333333
28;"M";12;8;"Pasteur";"7th";5,5;5,25;4,5;2,6666667;2,25;0,71428571;4,1304348;5,1;4,5277778
29;"F";13;2;"Pasteur";"7th";6;5;2,125;1,6666667;3;1,1428571;2,826087;5,55;4,4166667
30;"F";12;5;"Pasteur";"7th";4,6666667;6;4,25;2;3;2;5,1304348;5,85;8,6111111
31;"F";12;2;"Pasteur";"7th";5;4,5;0,75;2,6666667;3,25;1,8571429;4,6521739;4,85;5,4444444
33;"F";12;7;"Pasteur";"7th";3,5;5,75;1,375;2;3,5;1,8571429;4,826087;6,95;5,9722222
34;"M";16;0;"Pasteur";"7th";3;6;0,25;1,6666667;3;1;2,0434783;3,65;3,3611111
35;"F";12;2;"Pasteur";"7th";5;5,25;1,75;2,6666667;5,25;2;2,6956522;4,3;4,8055556
36;"F";12;3;"Pasteur";"7th";4,1666667;6;2,375;3,3333333;4,25;1,8571429;5,3913043;4,35;5,6388889
