"Anger";"Gender";"item";"resp";"id";"btype";"situ";"mode";"r2"
20;"F";"S1wantcurse";"no";"1";"curse";"other";"want";"N"
11;"F";"S1wantcurse";"no";"2";"curse";"other";"want";"N"
17;"M";"S1wantcurse";"perhaps";"3";"curse";"other";"want";"Y"
21;"M";"S1wantcurse";"perhaps";"4";"curse";"other";"want";"Y"
17;"M";"S1wantcurse";"perhaps";"5";"curse";"other";"want";"Y"
21;"M";"S1wantcurse";"yes";"6";"curse";"other";"want";"Y"
39;"M";"S1wantcurse";"yes";"7";"curse";"other";"want";"Y"
21;"M";"S1wantcurse";"no";"8";"curse";"other";"want";"N"
24;"M";"S1wantcurse";"no";"9";"curse";"other";"want";"N"
16;"M";"S1wantcurse";"yes";"10";"curse";"other";"want";"Y"
15;"M";"S1wantcurse";"perhaps";"11";"curse";"other";"want";"Y"
18;"M";"S1wantcurse";"yes";"12";"curse";"other";"want";"Y"
36;"F";"S1wantcurse";"yes";"13";"curse";"other";"want";"Y"
22;"F";"S1wantcurse";"yes";"14";"curse";"other";"want";"Y"
16;"M";"S1wantcurse";"perhaps";"15";"curse";"other";"want";"Y"
18;"M";"S1wantcurse";"perhaps";"16";"curse";"other";"want";"Y"
23;"M";"S1wantcurse";"perhaps";"17";"curse";"other";"want";"Y"
16;"M";"S1wantcurse";"perhaps";"18";"curse";"other";"want";"Y"
21;"M";"S1wantcurse";"no";"19";"curse";"other";"want";"N"
25;"M";"S1wantcurse";"perhaps";"20";"curse";"other";"want";"Y"
22;"M";"S1wantcurse";"perhaps";"21";"curse";"other";"want";"Y"
15;"M";"S1wantcurse";"yes";"22";"curse";"other";"want";"Y"
26;"M";"S1wantcurse";"yes";"23";"curse";"other";"want";"Y"
13;"M";"S1wantcurse";"perhaps";"24";"curse";"other";"want";"Y"
33;"M";"S1wantcurse";"no";"25";"curse";"other";"want";"N"
17;"M";"S1wantcurse";"no";"26";"curse";"other";"want";"N"
17;"M";"S1wantcurse";"yes";"27";"curse";"other";"want";"Y"
22;"M";"S1wantcurse";"yes";"28";"curse";"other";"want";"Y"
21;"F";"S1wantcurse";"perhaps";"29";"curse";"other";"want";"Y"
17;"M";"S1wantcurse";"yes";"30";"curse";"other";"want";"Y"
19;"M";"S1wantcurse";"yes";"31";"curse";"other";"want";"Y"
18;"F";"S1wantcurse";"perhaps";"32";"curse";"other";"want";"Y"
33;"F";"S1wantcurse";"no";"33";"curse";"other";"want";"N"
19;"M";"S1wantcurse";"perhaps";"34";"curse";"other";"want";"Y"
25;"M";"S1wantcurse";"yes";"35";"curse";"other";"want";"Y"
17;"M";"S1wantcurse";"perhaps";"36";"curse";"other";"want";"Y"
12;"M";"S1wantcurse";"no";"37";"curse";"other";"want";"N"
14;"M";"S1wantcurse";"no";"38";"curse";"other";"want";"N"
25;"F";"S1wantcurse";"no";"39";"curse";"other";"want";"N"
22;"F";"S1wantcurse";"no";"40";"curse";"other";"want";"N"
20;"M";"S1wantcurse";"perhaps";"41";"curse";"other";"want";"Y"
25;"M";"S1wantcurse";"no";"42";"curse";"other";"want";"N"
12;"M";"S1wantcurse";"perhaps";"43";"curse";"other";"want";"Y"
16;"M";"S1wantcurse";"no";"44";"curse";"other";"want";"N"
23;"M";"S1wantcurse";"no";"45";"curse";"other";"want";"N"
19;"M";"S1wantcurse";"yes";"46";"curse";"other";"want";"Y"
22;"M";"S1wantcurse";"yes";"47";"curse";"other";"want";"Y"
15;"M";"S1wantcurse";"no";"48";"curse";"other";"want";"N"
25;"M";"S1wantcurse";"no";"49";"curse";"other";"want";"N"
35;"M";"S1wantcurse";"yes";"50";"curse";"other";"want";"Y"
24;"M";"S1wantcurse";"no";"51";"curse";"other";"want";"N"
24;"M";"S1wantcurse";"no";"52";"curse";"other";"want";"N"
13;"M";"S1wantcurse";"perhaps";"53";"curse";"other";"want";"Y"
26;"M";"S1wantcurse";"perhaps";"54";"curse";"other";"want";"Y"
25;"M";"S1wantcurse";"no";"55";"curse";"other";"want";"N"
20;"M";"S1wantcurse";"yes";"56";"curse";"other";"want";"Y"
27;"M";"S1wantcurse";"yes";"57";"curse";"other";"want";"Y"
19;"M";"S1wantcurse";"perhaps";"58";"curse";"other";"want";"Y"
15;"F";"S1wantcurse";"no";"59";"curse";"other";"want";"N"
18;"M";"S1wantcurse";"no";"60";"curse";"other";"want";"N"
26;"M";"S1wantcurse";"yes";"61";"curse";"other";"want";"Y"
26;"M";"S1wantcurse";"yes";"62";"curse";"other";"want";"Y"
23;"M";"S1wantcurse";"perhaps";"63";"curse";"other";"want";"Y"
20;"M";"S1wantcurse";"perhaps";"64";"curse";"other";"want";"Y"
18;"M";"S1wantcurse";"yes";"65";"curse";"other";"want";"Y"
30;"M";"S1wantcurse";"no";"66";"curse";"other";"want";"N"
24;"M";"S1wantcurse";"yes";"67";"curse";"other";"want";"Y"
22;"M";"S1wantcurse";"yes";"68";"curse";"other";"want";"Y"
19;"M";"S1wantcurse";"perhaps";"69";"curse";"other";"want";"Y"
13;"M";"S1wantcurse";"perhaps";"70";"curse";"other";"want";"Y"
17;"M";"S1wantcurse";"no";"71";"curse";"other";"want";"N"
29;"M";"S1wantcurse";"yes";"72";"curse";"other";"want";"Y"
12;"M";"S1wantcurse";"no";"73";"curse";"other";"want";"N"
19;"M";"S1wantcurse";"perhaps";"74";"curse";"other";"want";"Y"
23;"M";"S1wantcurse";"no";"75";"curse";"other";"want";"N"
11;"M";"S1wantcurse";"perhaps";"76";"curse";"other";"want";"Y"
18;"M";"S1wantcurse";"no";"77";"curse";"other";"want";"N"
22;"M";"S1wantcurse";"perhaps";"78";"curse";"other";"want";"Y"
22;"F";"S1wantcurse";"perhaps";"79";"curse";"other";"want";"Y"
19;"F";"S1wantcurse";"yes";"80";"curse";"other";"want";"Y"
19;"F";"S1wantcurse";"yes";"81";"curse";"other";"want";"Y"
21;"M";"S1wantcurse";"yes";"82";"curse";"other";"want";"Y"
25;"M";"S1wantcurse";"perhaps";"83";"curse";"other";"want";"Y"
19;"M";"S1wantcurse";"yes";"84";"curse";"other";"want";"Y"
26;"M";"S1wantcurse";"perhaps";"85";"curse";"other";"want";"Y"
18;"M";"S1wantcurse";"no";"86";"curse";"other";"want";"N"
20;"M";"S1wantcurse";"yes";"87";"curse";"other";"want";"Y"
17;"M";"S1wantcurse";"yes";"88";"curse";"other";"want";"Y"
17;"F";"S1wantcurse";"perhaps";"89";"curse";"other";"want";"Y"
16;"M";"S1wantcurse";"yes";"90";"curse";"other";"want";"Y"
22;"M";"S1wantcurse";"perhaps";"91";"curse";"other";"want";"Y"
16;"M";"S1wantcurse";"no";"92";"curse";"other";"want";"N"
19;"F";"S1wantcurse";"yes";"93";"curse";"other";"want";"Y"
20;"F";"S1wantcurse";"yes";"94";"curse";"other";"want";"Y"
22;"M";"S1wantcurse";"perhaps";"95";"curse";"other";"want";"Y"
18;"M";"S1wantcurse";"perhaps";"96";"curse";"other";"want";"Y"
26;"M";"S1wantcurse";"no";"97";"curse";"other";"want";"N"
23;"M";"S1wantcurse";"perhaps";"98";"curse";"other";"want";"Y"
15;"M";"S1wantcurse";"no";"99";"curse";"other";"want";"N"
18;"M";"S1wantcurse";"perhaps";"100";"curse";"other";"want";"Y"
27;"M";"S1wantcurse";"yes";"101";"curse";"other";"want";"Y"
21;"M";"S1wantcurse";"no";"102";"curse";"other";"want";"N"
21;"M";"S1wantcurse";"no";"103";"curse";"other";"want";"N"
15;"M";"S1wantcurse";"yes";"104";"curse";"other";"want";"Y"
17;"M";"S1wantcurse";"yes";"105";"curse";"other";"want";"Y"
15;"M";"S1wantcurse";"perhaps";"106";"curse";"other";"want";"Y"
23;"M";"S1wantcurse";"no";"107";"curse";"other";"want";"N"
23;"M";"S1wantcurse";"perhaps";"108";"curse";"other";"want";"Y"
19;"M";"S1wantcurse";"no";"109";"curse";"other";"want";"N"
21;"M";"S1wantcurse";"perhaps";"110";"curse";"other";"want";"Y"
18;"M";"S1wantcurse";"yes";"111";"curse";"other";"want";"Y"
18;"M";"S1wantcurse";"yes";"112";"curse";"other";"want";"Y"
16;"M";"S1wantcurse";"yes";"113";"curse";"other";"want";"Y"
20;"M";"S1wantcurse";"yes";"114";"curse";"other";"want";"Y"
24;"M";"S1wantcurse";"yes";"115";"curse";"other";"want";"Y"
26;"M";"S1wantcurse";"yes";"116";"curse";"other";"want";"Y"
20;"M";"S1wantcurse";"yes";"117";"curse";"other";"want";"Y"
22;"M";"S1wantcurse";"yes";"118";"curse";"other";"want";"Y"
