"Age";"Sexe";"Consommation";"n";"f1";"fh"
"Age12-15";"M";"Légère";65;"pi1";"pi1"
"Age12-15";"M";"Moyenne";50;"pi2";"pi2"
"Age12-15";"M";"Elevée";20;"pi3";"pi3"
"Age12-15";"F";"Légère";78;"pi1";"pi1"
"Age12-15";"F";"Moyenne";37;"pi2";"pi2"
"Age12-15";"F";"Elevée";26;"pi3";"pi3"
"Age15-18";"M";"Légère";71;"pi4";"pi1"
"Age15-18";"M";"Moyenne";39;"pi5";"pi2"
"Age15-18";"M";"Elevée";34;"pi6";"pi3"
"Age15-18";"F";"Légère";74;"pi4";"pi1"
"Age15-18";"F";"Moyenne";36;"pi5";"pi2"
"Age15-18";"F";"Elevée";34;"pi6";"pi3"
"Age18-21";"M";"Légère";53;"pi7";"pi1"
"Age18-21";"M";"Moyenne";44;"pi8";"pi2"
"Age18-21";"M";"Elevée";34;"pi9";"pi3"
"Age18-21";"F";"Légère";63;"pi7";"pi1"
"Age18-21";"F";"Moyenne";45;"pi8";"pi2"
"Age18-21";"F";"Elevée";34;"pi9";"pi3"
