Adoration_R;nombre_seance;aisance_info;aisance_stat;entraîné
1;0;33;0;0
0;2;82;8;0
0;0;60;0;0
0;0;74;0;0
0;0;21;0;0
1;3;69;1;0
0;0;55;0;0
0;4;78;0;0
0;0;65;0;0
0;0;31;0;0
1;6;66;12;0
0;6;67;3;0
0;5;85;5;0
0;0;74;0;0
0;6;45;14;0
1;0;78;0;0
0;0;58;0;0
0;8;19;8;0
0;2;44;7;0
0;8;38;13;0
1;0;29;2;0
0;7;77;11;0
0;0;21;0;0
0;3;79;3;0
0;7;25;13;0
1;0;55;0;0
0;0;51;0;0
0;8;69;4;0
0;0;75;0;0
0;0;19;8;0
1;7;43;7;0
0;0;74;0;0
0;0;84;0;0
0;1;64;0;0
0;0;54;0;0
1;5;82;5;0
0;0;66;5;0
0;2;30;0;0
0;3;80;3;0
0;4;63;0;0
1;0;24;0;0
0;0;58;0;0
0;0;55;2;0
0;9;29;13;0
0;0;85;0;0
1;0;40;0;0
0;1;29;1;0
0;0;44;1;0
0;1;20;0;0
0;0;66;4;0
1;0;80;0;0
0;0;77;0;0
0;0;52;2;0
0;0;48;0;0
0;0;70;0;0
1;5;18;6;0
0;7;47;14;0
0;0;78;2;0
0;7;33;6;0
0;7;44;15;0
1;6;33;11;0
0;6;43;4;0
0;2;59;9;0
0;0;65;0;0
0;0;56;0;0
1;3;42;4;0
0;3;29;3;0
0;0;22;0;0
0;8;59;9;0
0;5;64;15;0
1;0;70;3;0
0;7;34;15;0
0;0;29;0;0
0;0;85;0;0
0;3;29;2;0
1;4;61;8;0
0;0;54;0;0
0;1;71;0;0
0;8;82;15;0
0;8;73;9;0
1;2;41;0;0
0;0;32;0;0
0;9;63;16;0
0;6;44;14;0
0;1;81;0;0
1;9;64;19;0
0;3;24;11;0
0;0;77;1;0
0;2;74;10;0
0;6;83;4;0
1;0;27;0;0
0;5;42;10;0
0;0;58;0;0
0;1;80;8;0
0;8;71;7;0
1;0;57;0;0
0;6;49;5;0
0;0;57;0;0
0;0;51;0;0
0;2;57;5;0
1;0;36;2;0
0;0;64;0;0
0;0;18;0;0
0;0;25;0;0
0;0;32;2;0
1;0;76;0;0
0;0;62;0;0
0;7;47;6;0
0;0;30;0;0
0;8;40;11;0
1;3;72;6;0
0;2;63;2;0
0;0;27;5;0
0;5;24;3;0
0;0;45;1;0
1;0;26;0;0
0;0;27;2;0
0;4;20;12;0
0;2;49;4;0
0;0;64;0;0
1;0;64;6;0
0;0;48;0;0
0;9;59;9;0
0;9;39;15;0
0;0;31;0;0
1;5;46;13;0
0;2;65;10;0
0;2;51;5;0
0;0;30;0;0
0;0;46;0;0
1;3;25;12;0
0;3;21;4;0
0;0;27;0;0
0;0;49;1;0
0;3;21;8;0
1;5;49;6;0
0;0;36;0;0
0;8;40;5;0
0;0;83;0;0
0;7;55;4;0
1;3;72;3;0
0;0;85;0;0
0;0;23;8;0
0;0;68;0;0
0;0;67;0;0
1;4;36;3;0
0;0;63;0;0
0;1;73;4;0
0;5;78;10;0
0;0;55;0;0
1;7;46;15;0
0;7;66;15;0
0;1;66;0;0
0;7;69;6;0
0;0;45;0;0
1;7;60;8;0
0;3;67;5;0
0;1;29;1;0
0;0;36;0;0
0;4;34;2;0
1;0;50;0;0
0;0;78;0;0
0;9;38;16;0
0;4;25;11;0
0;0;49;1;0
1;4;38;8;0
0;4;78;11;0
0;9;65;19;0
0;0;85;0;0
0;0;41;0;0
1;6;65;13;0
0;2;43;0;0
0;0;58;0;0
0;6;52;13;0
0;6;43;3;0
1;0;36;0;0
0;4;52;11;0
0;0;46;4;0
0;1;37;2;0
0;0;51;0;0
1;0;28;0;0
0;0;21;0;0
0;8;42;12;0
0;5;61;14;0
0;0;74;0;0
1;7;37;9;0
0;0;82;0;0
0;0;72;1;0
0;0;78;0;0
0;0;58;0;0
1;2;83;9;0
0;6;85;15;0
0;0;68;0;0
0;0;22;7;0
0;0;19;1;0
1;9;66;5;0
0;1;24;10;0
0;9;83;8;0
0;0;30;4;0
0;0;23;2;0
1;9;79;7;0
0;3;29;6;0
0;0;84;0;0
0;0;31;8;0
0;3;56;3;0
1;7;72;13;0
0;1;78;5;0
0;0;83;2;0
0;2;71;2;0
0;2;28;0;0
1;0;58;1;0
0;0;85;3;0
0;0;36;0;0
0;0;63;1;0
0;0;41;0;0
1;3;49;6;0
0;3;19;3;0
0;0;41;3;0
0;2;63;0;0
0;8;60;5;0
1;6;72;16;0
0;9;80;7;0
0;0;28;0;0
0;0;70;2;0
0;0;50;0;0
1;0;52;0;0
0;0;54;0;0
0;0;58;0;0
0;0;21;1;0
0;0;77;0;0
1;0;20;0;0
0;6;71;6;0
0;4;26;2;0
0;6;61;8;0
0;1;73;3;0
1;3;77;7;0
0;6;80;12;0
0;0;40;1;0
0;0;81;10;0
0;0;65;0;0
1;4;67;4;0
0;8;27;4;0
0;0;82;0;0
0;7;41;14;0
0;7;75;4;0
1;0;36;0;0
0;0;82;0;0
0;8;27;10;0
0;3;18;4;0
0;0;69;0;0
1;0;39;0;0
0;9;70;12;0
0;0;46;0;0
0;0;59;4;0
0;0;24;0;0
1;2;46;1;0
0;0;19;0;0
0;3;55;8;0
0;0;83;0;0
0;0;51;0;0
1;6;40;15;0
0;0;60;0;0
0;9;85;15;0
0;0;56;0;0
0;0;38;0;0
1;7;33;8;0
0;8;46;12;0
0;0;67;0;0
0;8;39;4;0
0;0;85;0;0
1;0;68;0;0
0;0;60;1;0
0;0;34;5;0
0;6;30;5;0
0;4;70;6;0
1;9;35;15;0
0;2;47;3;0
0;8;57;17;0
0;0;41;0;0
0;0;33;0;0
1;1;26;8;0
0;0;22;10;0
0;2;45;0;0
0;0;24;0;0
0;0;64;4;0
1;0;85;0;0
0;1;42;1;0
0;0;34;0;0
0;0;60;0;0
0;5;81;11;0
1;6;37;1;0
0;0;30;5;0
