"groupe";"agmatine"
"nostress";174
"nostress";149
"nostress";207
"nostress";166
"nostress";61
"nostress";113
"nostress";126
"nostress";90
"nostress";168
"nostress";255
"nostress";51
"nostress";133
"nostress";71
"nostress";148
"nostress";95
"nostress";66
"nostress";152
"nostress";149
"nostress";73
"nostress";141
"stress";133
"stress";166
"stress";310
"stress";166
"stress";135
"stress";139
"stress";174
"stress";214
"stress";233
"stress";155
"stress";276
"stress";175
"stress";123
"stress";127
"stress";176
"stress";86
"stress";231
"stress";175
"stress";209
"stress";141
