Opinion;Erreur
Extreme;60,59
Extreme;40,31
Extreme;39,96
Extreme;23,65
Extreme;51,38
Extreme;64,43
Extreme;50,69
Extreme;40,44
Extreme;53
Extreme;41,17
Extreme;49,39
Extreme;43,98
Extreme;58,79
Extreme;22,07
Extreme;50,54
Moderee;49,5
Moderee;61,94
Moderee;38,89
Moderee;54,05
Moderee;43,06
Moderee;58,14
Moderee;54,92
Moderee;45,95
Moderee;41,81
Moderee;62,16
Moderee;51,29
Moderee;57,21
Moderee;48,37
Moderee;60,18
Moderee;50,64
Extreme;33
Extreme;49,58
Extreme;7,12
Extreme;40,89
Extreme;41,09
Extreme;40,78
Extreme;30,18
Extreme;29,67
Extreme;24,87
Extreme;22,15
Extreme;22,98
Extreme;23,21
Extreme;43,83
Extreme;66,28
Extreme;33,62
Moderee;34,35
Moderee;43,87
Moderee;48,59
Moderee;49,36
Moderee;38,97
Moderee;37,29
Moderee;38,43
Moderee;28,36
Moderee;40,01
Moderee;46,46
Moderee;28,57
Moderee;17,05
Moderee;39,34
Moderee;29,08
Moderee;83,19
Extreme;65,85
Extreme;40,17
Extreme;39,85
Extreme;43,06
Extreme;28,59
Extreme;38,07
Extreme;40,73
Extreme;51,27
Extreme;37,81
Extreme;29,09
Extreme;66,01
Extreme;14,2
Extreme;17,73
Extreme;31,98
Extreme;43,23
Moderee;48,82
Moderee;53,48
Moderee;34,83
Moderee;56,26
Moderee;53,52
Moderee;65,65
Moderee;58,81
Moderee;54,25
Moderee;44,89
Moderee;67,32
Moderee;59,22
Moderee;61,02
Moderee;56,17
Moderee;48,99
Moderee;51,27
Extreme;56,28
Extreme;26,67
Extreme;53,84
Extreme;65,45
Extreme;43,84
Extreme;48,96
Extreme;58,98
Extreme;48,81
Extreme;51,04
Extreme;58,34
Extreme;61,37
Extreme;57,8
Extreme;33,65
Extreme;47,67
Extreme;50,65
Moderee;44,96
Moderee;36,9
Moderee;58,34
Moderee;52,02
Moderee;37,93
Moderee;22,3
Moderee;72,41
Moderee;67,81
Moderee;24,74
Moderee;37,01
Moderee;40,03
Moderee;56,49
Moderee;34,88
Moderee;32,18
Moderee;59,02
Extreme;43,72
Extreme;48,54
Extreme;57,01
Extreme;64,91
Extreme;47,95
Extreme;57,06
Extreme;38,87
Extreme;51,67
Extreme;41,27
Extreme;41,41
Extreme;48,6
Extreme;53,77
Extreme;49,17
Extreme;46,17
Extreme;48,83
Moderee;63,84
Moderee;60,49
Moderee;55,99
Moderee;64,76
Moderee;51
Moderee;53,43
Moderee;60,5
Moderee;67,06
Moderee;67,78
Moderee;52,16
Moderee;60,6
Moderee;32,44
Moderee;79,71
Moderee;51,1
Moderee;78
Extreme;43,3
Extreme;76,74
Extreme;88,44
Extreme;56,05
Extreme;45,49
Extreme;73,56
Extreme;55,13
Extreme;69,26
Extreme;72,1
Extreme;58,24
Extreme;44,09
Extreme;56,47
Extreme;35,62
Extreme;49,01
Extreme;40,69
Moderee;43,87
Moderee;21,7
Moderee;39,28
Moderee;64,41
Moderee;25,36
Moderee;48,71
Moderee;21,14
Moderee;47,22
Moderee;42,99
Moderee;34,14
Moderee;51,65
Moderee;50,6
Moderee;30,5
Moderee;34,45
Moderee;32,56
Extreme;37,25
Extreme;49,61
Extreme;44,63
Extreme;47,22
Extreme;25,45
Extreme;47,81
Extreme;40,88
Extreme;52,28
Extreme;57,38
Extreme;72,35
Extreme;36,12
Extreme;33,79
Extreme;49,24
Extreme;36,16
Extreme;28,65
Moderee;41,37
Moderee;49,12
Moderee;33,76
Moderee;46,4
Moderee;46,53
Moderee;50,13
Moderee;30,33
Moderee;43,06
Moderee;48,65
Moderee;44,77
Moderee;41,55
Moderee;54,15
Moderee;48,85
Moderee;44,09
Moderee;58,23
Extreme;25,46
Extreme;22,23
Extreme;42,47
Extreme;25,51
Extreme;33,23
Extreme;16,92
Extreme;35,02
Extreme;45,83
Extreme;41,19
Extreme;44,83
Extreme;41,27
Extreme;38,1
Extreme;28,54
Extreme;37,15
Extreme;28,27
Moderee;79,85
Moderee;69,67
Moderee;49,32
Moderee;20,95
Moderee;48,44
Moderee;54,26
Moderee;50,42
Moderee;57,27
Moderee;57,25
Moderee;58,06
Moderee;38,89
Moderee;36,77
Moderee;39,14
Moderee;47,68
Moderee;42,19
Extreme;19,99
Extreme;46,8
Extreme;24,3
Extreme;46,81
Extreme;45,26
Extreme;14,68
Extreme;67,67
Extreme;38,3
Extreme;17,69
Extreme;44,28
Extreme;14
Extreme;48,41
Extreme;25,97
Extreme;58,24
Extreme;35,61
Moderee;43,83
Moderee;46,32
Moderee;38,15
Moderee;48,92
Moderee;39,71
Moderee;46,8
Moderee;59,92
Moderee;39,82
Moderee;38,13
Moderee;38,73
Moderee;53,62
Moderee;55,27
Moderee;43,31
Moderee;51,94
Moderee;29,37
Extreme;18,09
Extreme;37,65
Extreme;46,52
Extreme;24,13
Extreme;44,63
Extreme;52,88
Extreme;59,84
Extreme;45,43
Extreme;49,79
Extreme;28,01
Extreme;38,44
Extreme;51,91
Extreme;51,45
Extreme;39,5
Extreme;37,63
Moderee;27,72
Moderee;58,85
Moderee;44,87
Moderee;61,38
Moderee;53,69
Moderee;44,21
Moderee;23,82
Moderee;73,27
Moderee;55,67
Moderee;45,95
Moderee;51,48
Moderee;47,74
Moderee;62,13
Moderee;71,59
Moderee;34,4
Extreme;22,48
Extreme;49,3
Extreme;26,08
Extreme;29,69
Extreme;31,51
Extreme;28,96
Extreme;16,53
