"Compr";"Expertise";"TypDoc";"Groupes"
16;"Expert";"Lineaire";"G1"
25;"Expert";"Lineaire";"G1"
24;"Expert";"Lineaire";"G1"
20;"Expert";"Lineaire";"G1"
20;"Expert";"Lineaire";"G1"
15;"NonExpert";"Lineaire";"G2"
15;"NonExpert";"Lineaire";"G2"
15;"NonExpert";"Lineaire";"G2"
10;"NonExpert";"Lineaire";"G2"
12;"NonExpert";"Lineaire";"G2"
19;"Expert";"Hierarchique";"G3"
22;"Expert";"Hierarchique";"G3"
19;"Expert";"Hierarchique";"G3"
18;"Expert";"Hierarchique";"G3"
23;"Expert";"Hierarchique";"G3"
21;"NonExpert";"Hierarchique";"G4"
20;"NonExpert";"Hierarchique";"G4"
19;"NonExpert";"Hierarchique";"G4"
21;"NonExpert";"Hierarchique";"G4"
13;"NonExpert";"Hierarchique";"G4"
