participant;Préférence_acteur;Interprétation
p_1;Clooney;Gentleman
p_2;Clooney;Gentleman
p_3;Clooney;Gentleman
p_4;Clooney;Gentleman
p_5;Clooney;Gentleman
p_6;Clooney;Gentleman
p_7;Clooney;Gentleman
p_8;Clooney;Gentleman
p_9;Clooney;Gentleman
p_10;Clooney;Gentleman
p_11;Clooney;Gentleman
p_12;Clooney;se_laisse_manipuler
p_13;Clooney;se_laisse_manipuler
p_14;Clooney;se_laisse_manipuler
p_15;Clooney;se_laisse_manipuler
p_16;Clooney;se_laisse_manipuler
p_17;Clooney;se_laisse_manipuler
p_18;Clooney;se_laisse_manipuler
p_19;Clooney;se_laisse_manipuler
p_20;Clooney;se_laisse_manipuler
p_21;Clooney;être_prêt_à_tout
p_22;Clooney;être_prêt_à_tout
p_23;Clooney;être_prêt_à_tout
p_24;Clooney;être_prêt_à_tout
p_25;Dujardin;Gentleman
p_26;Dujardin;Gentleman
p_27;Dujardin;Gentleman
p_28;Dujardin;Gentleman
p_29;Dujardin;Gentleman
p_30;Dujardin;Gentleman
p_31;Dujardin;Gentleman
p_32;Dujardin;Gentleman
p_33;Dujardin;Gentleman
p_34;Dujardin;Gentleman
p_35;Dujardin;Gentleman
p_36;Dujardin;se_laisse_manipuler
p_37;Dujardin;se_laisse_manipuler
p_38;Dujardin;se_laisse_manipuler
p_39;Dujardin;se_laisse_manipuler
p_40;Dujardin;se_laisse_manipuler
p_41;Dujardin;se_laisse_manipuler
p_42;Dujardin;se_laisse_manipuler
p_43;Dujardin;se_laisse_manipuler
p_44;Dujardin;se_laisse_manipuler
p_45;Dujardin;se_laisse_manipuler
p_46;Dujardin;se_laisse_manipuler
p_47;Dujardin;se_laisse_manipuler
p_48;Dujardin;se_laisse_manipuler
p_49;Dujardin;se_laisse_manipuler
p_50;Dujardin;se_laisse_manipuler
p_51;Dujardin;se_laisse_manipuler
p_52;Dujardin;être_prêt_à_tout
p_53;Dujardin;être_prêt_à_tout
p_54;Dujardin;être_prêt_à_tout
p_55;Dujardin;être_prêt_à_tout
p_56;Dujardin;être_prêt_à_tout
p_57;Dujardin;être_prêt_à_tout
p_58;Dujardin;être_prêt_à_tout
p_59;Dujardin;être_prêt_à_tout
p_60;Dujardin;être_prêt_à_tout
p_61;Dujardin;être_prêt_à_tout
p_62;Dujardin;être_prêt_à_tout
p_63;Dujardin;être_prêt_à_tout
p_64;Dujardin;être_prêt_à_tout
p_65;Dujardin;être_prêt_à_tout
p_66;Dujardin;être_prêt_à_tout
p_67;Dujardin;être_prêt_à_tout
