Rappel;Contexte;F3;F2;F1
16;1-Même;G1;G14;G134
20;1-Même;G1;G14;G134
19;1-Même;G1;G14;G134
22;1-Même;G1;G14;G134
25;1-Même;G1;G14;G134
13;1-Même;G1;G14;G134
14;1-Même;G1;G14;G134
12;2-Différent;G25;G25;G25
22;2-Différent;G25;G25;G25
10;2-Différent;G25;G25;G25
7;2-Différent;G25;G25;G25
8;2-Différent;G25;G25;G25
15;2-Différent;G25;G25;G25
12;2-Différent;G25;G25;G25
14;3-Imaginé;G3;G3;G134
15;3-Imaginé;G3;G3;G134
20;3-Imaginé;G3;G3;G134
10;3-Imaginé;G3;G3;G134
12;3-Imaginé;G3;G3;G134
21;3-Imaginé;G3;G3;G134
16;3-Imaginé;G3;G3;G134
17;4-Photographie;G4;G14;G134
21;4-Photographie;G4;G14;G134
27;4-Photographie;G4;G14;G134
10;4-Photographie;G4;G14;G134
15;4-Photographie;G4;G14;G134
11;4-Photographie;G4;G14;G134
19;4-Photographie;G4;G14;G134
12;5-Placebo;G25;G25;G25
19;5-Placebo;G25;G25;G25
10;5-Placebo;G25;G25;G25
7;5-Placebo;G25;G25;G25
5;5-Placebo;G25;G25;G25
12;5-Placebo;G25;G25;G25
15;5-Placebo;G25;G25;G25
