Sujet;Sexe;Groupe;LaJournée;Cambriolages;SituationsPersonnellesDifficiles;SituationProfDifficile;Partout;QuandCondamnation;AuJugement;AgressionSolutionProblème;TouteSituation;QuandPeineInsuffisante;SeFaireTromper;PasDeContexteType;Imprévisibilité;QuartiersSensibles;ViolencePhysique;ProfiteFaiblesse;SituationEconSocDéfavorable;PersonneIncarcérée;MenaceDeMort;LorsDuProcès;PasDeDangerPourJuge;PdtReconstitution;EndroitIsolé;QuandPréméditation;HommeAgresseFemme;HommeAgressePersAgée;PasDeSituationDangereuse;MilieuToxicomane;EnvironnementPersonne;LieuInfraction;QuandJugeExposé;SelonContexteEcon;ContexteFamilial;JugementsDifférentsSelonJuge;JugeMauvaiseDécision;AprèsAudience;Après22h;JugeMisQQenprison;RéactionPersIncarcérée;PendatExtraction;ContexteActe;SelonGravité;ConcerneJugesEnfants;AprèsAssises;AvecFamilleCondamné;RéflexionMétier;DangerositéPhysique;DangerositéPsychique;RèglementDeCompte;QQHautPlacé;Proximité;Entretien;EnfanceDestructurée;SelonCirconstances;PasDangerRessenti;SelonFonctionMagistrat;IsolementAuTribunal;RéflexionIndDangereux;PlusDangereuxAuPénal;CasPsychiatrique;AnnonceDécision;QuandParleChosesDouloureuses;QuestionsGênantes;LorsConfrontations;Mouvements;CrimesGraves;AudiencesCabinet;AudienceCorrectionnelle;FinSursis;ConflitsConjuguaux;DélinquanceCollective;SeulAvecFamillesDifficiles;PlacementEnfant;JugesAuxTutelles;JugesAInstance;DisputeIvres;DroguéVoleur;ConduitAntiDépresseur;Enceinte;SituationGroupe;PersonneAgressive;ParcoursPénal;RisqueInceste;ProcèsVerbaux;ParentsMaladesMentaux;QuandPasMéfiant;AtoutMoment;Seul;TravailleursSociaux;AbsenceRepères;ViolenceParents;Désocialisation;AbsenceSoutienFamilial;MisèreIntellectuelle;ViolCollectif;SituationRefus;ProcheVécuPersonnel;DétenuDangereux;OrigineEtrangère
C.F;F;Citoyen;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JM.O;M;Citoyen;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C.M;F;Citoyen;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
F.V;F;Citoyen;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
J.Y;F;Citoyen;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Y.X;F;Citoyen;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C.P;M;Citoyen;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
M.B;F;Citoyen;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N.E;F;Citoyen;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
N.H;F;Citoyen;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
P.L;M;Citoyen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
