margarine;divorces;prise_poids_10ans
60;23;23
43;16;4
69;45;22
54;25;22
47;17;34
72;42;68
71;42;19
50;26;36
37;8;7
65;35;20
69;48;56
54;29;16
60;31;44
53;21;32
39;12;13
52;19;15
73;40;66
49;22;20
68;34;37
42;13;20
51;33;8
57;26;37
52;20;23
43;13;21
53;29;35
86;62;31
67;39;78
61;31;18
60;28;20
65;41;54
76;46;44
67;37;30
71;39;43
74;47;36
58;33;28
78;37;45
80;52;62
62;37;52
74;40;49
49;28;2
62;34;62
54;28;6
63;35;28
81;58;59
73;42;63
57;26;74
54;23;52
55;24;6
59;32;17
45;15;3
61;32;5
60;33;19
60;30;54
63;31;26
75;41;29
54;16;30
84;57;44
72;46;73
57;34;16
47;19;27
33;1;52
64;27;93
56;19;73
55;25;17
73;40;12
43;14;12
69;33;48
58;30;7
52;22;5
54;23;23
52;10;48
71;51;54
56;31;11
70;51;27
55;13;13
48;19;13
70;44;53
63;30;20
58;22;30
50;24;24
62;32;9
59;18;68
66;30;33
78;49;37
72;40;23
53;19;10
69;34;12
53;24;14
50;11;21
66;32;23
84;60;65
63;30;6
52;24;5
62;38;35
49;17;17
61;28;13
50;23;45
53;21;11
66;43;69
64;42;24
