"Saut";"Chien";"Essai";"Score";"Cumul.NR";"Cumul.R"
0;"c1";0;21;0;0
0;"c1";1;21;0;1
1;"c1";2;21;0;2
0;"c1";3;21;1;2
1;"c1";4;21;1;3
0;"c1";5;21;2;3
1;"c1";6;21;2;4
1;"c1";7;21;3;4
1;"c1";8;21;4;4
1;"c1";9;21;5;4
1;"c1";10;21;6;4
1;"c1";11;21;7;4
1;"c1";12;21;8;4
1;"c1";13;21;9;4
1;"c1";14;21;10;4
1;"c1";15;21;11;4
1;"c1";16;21;12;4
1;"c1";17;21;13;4
1;"c1";18;21;14;4
1;"c1";19;21;15;4
1;"c1";20;21;16;4
1;"c1";21;21;17;4
1;"c1";22;21;18;4
1;"c1";23;21;19;4
1;"c1";24;21;20;4
0;"c2";0;12;0;0
0;"c2";1;12;0;1
0;"c2";2;12;0;2
0;"c2";3;12;0;3
0;"c2";4;12;0;4
0;"c2";5;12;0;5
0;"c2";6;12;0;6
1;"c2";7;12;0;7
0;"c2";8;12;1;7
0;"c2";9;12;1;8
0;"c2";10;12;1;9
0;"c2";11;12;1;10
0;"c2";12;12;1;11
0;"c2";13;12;1;12
1;"c2";14;12;1;13
1;"c2";15;12;2;13
1;"c2";16;12;3;13
1;"c2";17;12;4;13
1;"c2";18;12;5;13
1;"c2";19;12;6;13
1;"c2";20;12;7;13
1;"c2";21;12;8;13
1;"c2";22;12;9;13
1;"c2";23;12;10;13
1;"c2";24;12;11;13
0;"c3";0;15;0;0
0;"c3";1;15;0;1
0;"c3";2;15;0;2
0;"c3";3;15;0;3
0;"c3";4;15;0;4
1;"c3";5;15;0;5
1;"c3";6;15;1;5
0;"c3";7;15;2;5
1;"c3";8;15;2;6
1;"c3";9;15;3;6
0;"c3";10;15;4;6
0;"c3";11;15;4;7
1;"c3";12;15;4;8
1;"c3";13;15;5;8
0;"c3";14;15;6;8
1;"c3";15;15;6;9
0;"c3";16;15;7;9
1;"c3";17;15;7;10
1;"c3";18;15;8;10
1;"c3";19;15;9;10
1;"c3";20;15;10;10
1;"c3";21;15;11;10
1;"c3";22;15;12;10
1;"c3";23;15;13;10
1;"c3";24;15;14;10
0;"c4";0;19;0;0
1;"c4";1;19;0;1
1;"c4";2;19;1;1
0;"c4";3;19;2;1
0;"c4";4;19;2;2
1;"c4";5;19;2;3
1;"c4";6;19;3;3
1;"c4";7;19;4;3
1;"c4";8;19;5;3
0;"c4";9;19;6;3
1;"c4";10;19;6;4
0;"c4";11;19;7;4
1;"c4";12;19;7;5
0;"c4";13;19;8;5
1;"c4";14;19;8;6
1;"c4";15;19;9;6
1;"c4";16;19;10;6
1;"c4";17;19;11;6
1;"c4";18;19;12;6
1;"c4";19;19;13;6
1;"c4";20;19;14;6
1;"c4";21;19;15;6
1;"c4";22;19;16;6
1;"c4";23;19;17;6
1;"c4";24;19;18;6
0;"c5";0;17;0;0
