poissons;avant;pendant;après
truite;16.9;20.2;19.1
truite;18;16.7;22.9
truite;15.2;22.3;14.6
truite;16.2;20.4;18.7
truite;15.5;14.1;19.9
truite;19.7;18;21.9
truite;18.8;16;20.9
truite;16;26;19.4
truite;17.3;22.5;21.5
truite;19;22.8;20.9
truite;19;18.9;27.2
truite;21.9;23.5;21.7
truite;24;17.5;18.4
truite;20.9;19.8;17.2
truite;24.5;14.8;18.9
truite;28.1;19.5;18.3
truite;27.7;15.2;16.3
truite;23.8;17.3;24.6
truite;19.4;22.3;18.6
truite;22.1;21.2;24.3
saumons;31.5;70.4;32
saumons;37.2;67.5;28.7
saumons;30.5;63.8;33.1
saumons;32.7;67.8;22.7
saumons;31.1;68.7;31.1
saumons;30;70.8;24.9
saumons;35.6;65.9;35.8
saumons;36.1;78.1;32.5
saumons;26.9;71.5;25.4
saumons;32.9;69.7;35.8
saumons;32.3;72.3;24.7
saumons;27.6;70.5;34.3
saumons;32.9;65.8;28.4
saumons;32.9;73.2;25.5
saumons;32.3;68.8;20.9
saumons;37.2;72.8;34.8
saumons;30.5;68.4;33.4
saumons;25.8;72.9;31.8
saumons;30.7;70.8;30.7
saumons;30.4;69.9;24.8
thon;16.6;3.8;7.3
thon;16.8;1.7;7.4
thon;9.8;2.1;4.8
thon;19.7;3.3;4.6
thon;26.8;4.2;5.8
thon;14.8;5.1;4.8
thon;14.4;1.2;3.2
thon;17.6;3;8
thon;13;4;5.4
thon;13;1.2;7.6
thon;15.3;2.7;5.4
thon;13.5;4.2;5.4
thon;13.6;4;8.1
thon;13.5;3.8;5.5
thon;15.6;3.6;7.1
thon;7.5;2;6.2
thon;16.5;4.1;5.7
thon;15.4;2.7;6
thon;18.4;2;6.7
thon;16.9;3.8;7
