emotion;cooperation
Control;3
Control;0
Control;0
Control;1
Control;0
Control;10
Control;0
Control;0
Control;8
Control;3
Control;5
Control;5
Control;8
Control;0
Control;5
Control;8
Control;5
Control;3
Control;8
Control;5
Control;0
Control;3
Control;1
Control;3
Control;2
Control;8
Control;3
Control;2
Control;6
Control;4
Control;10
Control;2
Control;0
Control;1
Control;1
Control;0
Control;7
Control;1
Control;5
Guilt;5
Guilt;4
Guilt;3
Guilt;3
Guilt;10
Guilt;1
Guilt;1
Guilt;4
Guilt;10
Guilt;7
Guilt;6
Guilt;8
Guilt;0
Guilt;8
Guilt;6
Guilt;2
Guilt;7
Guilt;5
Guilt;9
Guilt;6
Guilt;2
Guilt;8
Guilt;9
Guilt;0
Guilt;4
Guilt;8
Guilt;7
Guilt;7
Guilt;6
Guilt;4
Guilt;2
Guilt;7
Guilt;10
Guilt;0
Guilt;10
Guilt;9
Guilt;10
Guilt;1
Guilt;4
Guilt;9
Guilt;0
Guilt;4
Shame;4
Shame;2
Shame;2
Shame;0
Shame;4
Shame;2
Shame;5
Shame;10
Shame;7
Shame;0
Shame;4
Shame;3
Shame;0
Shame;2
Shame;4
Shame;10
Shame;1
Shame;4
Shame;0
Shame;4
Shame;3
Shame;5
Shame;4
Shame;2
Shame;4
Shame;7
Shame;2
Shame;9
Shame;10
Shame;7
Shame;1
Shame;6
Shame;0
Shame;5
Shame;1
Shame;4
Shame;1
Shame;5
Shame;5
Shame;0
Shame;2
Shame;10
Shame;6
Shame;2
Shame;1
