"Condition";"Rappel";"F1";"F2";"F3"
"Addition";9;"mu12";"mu12";"mu12"
"Addition";8;"mu12";"mu12";"mu12"
"Addition";6;"mu12";"mu12";"mu12"
"Addition";8;"mu12";"mu12";"mu12"
"Addition";10;"mu12";"mu12";"mu12"
"Addition";4;"mu12";"mu12";"mu12"
"Addition";6;"mu12";"mu12";"mu12"
"Addition";5;"mu12";"mu12";"mu12"
"Addition";7;"mu12";"mu12";"mu12"
"Addition";7;"mu12";"mu12";"mu12"
"Rimes";7;"mu12";"mu12";"mu12"
"Rimes";9;"mu12";"mu12";"mu12"
"Rimes";6;"mu12";"mu12";"mu12"
"Rimes";6;"mu12";"mu12";"mu12"
"Rimes";6;"mu12";"mu12";"mu12"
"Rimes";11;"mu12";"mu12";"mu12"
"Rimes";6;"mu12";"mu12";"mu12"
"Rimes";3;"mu12";"mu12";"mu12"
"Rimes";8;"mu12";"mu12";"mu12"
"Rimes";7;"mu12";"mu12";"mu12"
"Adjectifs";11;"mu3";"mu3";"mu345"
"Adjectifs";13;"mu3";"mu3";"mu345"
"Adjectifs";8;"mu3";"mu3";"mu345"
"Adjectifs";6;"mu3";"mu3";"mu345"
"Adjectifs";14;"mu3";"mu3";"mu345"
"Adjectifs";11;"mu3";"mu3";"mu345"
"Adjectifs";13;"mu3";"mu3";"mu345"
"Adjectifs";13;"mu3";"mu3";"mu345"
"Adjectifs";10;"mu3";"mu3";"mu345"
"Adjectifs";11;"mu3";"mu3";"mu345"
"Images";12;"mu4";"mu45";"mu345"
"Images";11;"mu4";"mu45";"mu345"
"Images";16;"mu4";"mu45";"mu345"
"Images";11;"mu4";"mu45";"mu345"
"Images";9;"mu4";"mu45";"mu345"
"Images";23;"mu4";"mu45";"mu345"
"Images";12;"mu4";"mu45";"mu345"
"Images";10;"mu4";"mu45";"mu345"
"Images";19;"mu4";"mu45";"mu345"
"Images";11;"mu4";"mu45";"mu345"
"Intentionnel";10;"mu5";"mu45";"mu345"
"Intentionnel";19;"mu5";"mu45";"mu345"
"Intentionnel";14;"mu5";"mu45";"mu345"
"Intentionnel";5;"mu5";"mu45";"mu345"
"Intentionnel";10;"mu5";"mu45";"mu345"
"Intentionnel";11;"mu5";"mu45";"mu345"
"Intentionnel";14;"mu5";"mu45";"mu345"
"Intentionnel";15;"mu5";"mu45";"mu345"
"Intentionnel";11;"mu5";"mu45";"mu345"
"Intentionnel";11;"mu5";"mu45";"mu345"
