Nom;Groupe;Force
superman;super_héros;93
spiderman;super_héros;77
Hulk;super_héros;87
Captain_America;super_héros;81
Flash;super_héros;91
4_Fantastiques;super_héros;99
Wolverine;super_héros;67
Batman;super_héros;75
Robin;super_héros;93
iron_man;super_héros;91
veuve_noir;super_héros;79
wonder_woman;super_héros;95
Thor;super_héros;72
Judge_Dredd;super_héros;85
Daredevil_;super_héros;83
X_men;super_héros;66
Joker;super_vilains;87
Onguoin;super_vilains;84
Lex_luthor;super_vilains;81
Metallo;super_vilains;83
Captain_cold;super_vilains;98
Bouffon_vert;super_vilains;70
Mauvais_mutants;super_vilains;92
Magnéto;super_vilains;76
Loki;super_vilains;87
Red_Hulk;super_vilains;75
Catwoman;super_vilains;89
Dark_Avengers;super_vilains;99
Baron_Zemo_;super_vilains;65
Captain_cold;super_vilains;91
Superboy_Prime;super_vilains;96
Docteur_Fatalis;super_vilains;86
