"condition";"correct";"TypeRappel"
"Libre";39;"Rappel"
"Libre";25;"Rappel"
"Libre";37;"Rappel"
"Libre";25;"Rappel"
"Libre";29;"Rappel"
"Libre";39;"Rappel"
"Libre";21;"Rappel"
"Libre";39;"Rappel"
"Libre";24;"Rappel"
"Libre";25;"Rappel"
"Avant";40;"Reconnaissance"
"Avant";38;"Reconnaissance"
"Avant";39;"Reconnaissance"
"Avant";37;"Reconnaissance"
"Avant";39;"Reconnaissance"
"Avant";24;"Reconnaissance"
"Avant";30;"Reconnaissance"
"Avant";39;"Reconnaissance"
"Avant";40;"Reconnaissance"
"Avant";40;"Reconnaissance"
"Melange";40;"Reconnaissance"
"Melange";39;"Reconnaissance"
"Melange";34;"Reconnaissance"
"Melange";37;"Reconnaissance"
"Melange";40;"Reconnaissance"
"Melange";36;"Reconnaissance"
"Melange";36;"Reconnaissance"
"Melange";38;"Reconnaissance"
"Melange";36;"Reconnaissance"
"Melange";30;"Reconnaissance"
