Times ; Group
47,20001; Verbal
21,99998; Verbal
20,39999; Verbal
19,70001; Verbal
17,4; Verbal
14,7; Verbal
13,39999; Verbal
13; Verbal
12,3; Verbal
12,20001; Verbal
10,3; Verbal
9,7; Verbal
9,7; Verbal
9,5; Verbal
9,1; Verbal
8,9; Verbal
8,9; Verbal
8,4; Verbal
8,09999; Verbal
7,9; Verbal
7,8; Verbal
6,9; Verbal
6,3; Verbal
6,1; Verbal
5,6; Verbal
4,7; Verbal
4,7; Verbal
4,3; Verbal
4,2; Verbal
3,9; Verbal
3,4; Verbal
3,1; Verbal
3,1; Verbal
2,7; Verbal
2,4; Verbal
2,3; Verbal
2,3; Verbal
2,1; Verbal
2,1; Verbal
2; Verbal
1,9; Verbal
1,7; Verbal
1,7; Verbal
19,70001; VerbalVisuel
16,19998; VerbalVisuel
15,9; VerbalVisuel
15,40002; VerbalVisuel
9,7; VerbalVisuel
8,9; VerbalVisuel
8,6; VerbalVisuel
8,6; VerbalVisuel
7,4; VerbalVisuel
6,3; VerbalVisuel
6,1; VerbalVisuel
6; VerbalVisuel
6; VerbalVisuel
5,9; VerbalVisuel
4,9; VerbalVisuel
4,6; VerbalVisuel
3,8; VerbalVisuel
3,6; VerbalVisuel
3,5; VerbalVisuel
3,3; VerbalVisuel
3,3; VerbalVisuel
2,9; VerbalVisuel
2,8; VerbalVisuel
2,7; VerbalVisuel
2,4; VerbalVisuel
2,3; VerbalVisuel
2; VerbalVisuel
1,8; VerbalVisuel
1,7; VerbalVisuel
1,7; VerbalVisuel
1,6; VerbalVisuel
1,4; VerbalVisuel
1,2; VerbalVisuel
1,1; VerbalVisuel
1; VerbalVisuel
