"IFSI.SF";"SEXE";"NEC.ARRET";"ENV.ARRET";"CIG.JOUR";"STADE.1";"STADE.2";"SCORES"
"IFSI";"H";"b-Plutot pas";"a-Pas du tout";10;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"b-Plutot pas";"c-Entre les deux";10;"a-PC";"b-C";-6,3796857
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";10;"b-C";"a-PC";-2,01994579553125
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";20;"c-P";"b-C";-3,29634007557855
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";10;"a-PC";"a-PC";-2,97888519761287
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";14;"b-C";"b-C";-3,16919079491696
"IFSI";"H";"b-Plutot pas";"b-Plutot pas";14;"a-PC";"b-C";-4,75567319892648
"IFSI";"F";"c-Entre les deux";"d-Plutot d'accord";6;"b-C";"b-C";-3,35942440007168
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";6;"a-PC";"a-PC";-6,3796857
"IFSI";"H";"d-Plutot d'accord";"d-Plutot d'accord";12;"a-PC";"a-PC";-1,85876238798429
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";6;"b-C";"b-C";-2,7992949536619
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";4;"b-C";"b-C";-3,16919079491696
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";8;"a-PC";"b-C";-2,7992949536619
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";20;"a-PC";"a-PC";-5,25349704575842
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";10;"b-C";"b-C";-1,20991648130308
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"b-C";"a-PC";-2,97888519761287
"IFSI";"H";"c-Entre les deux";"b-Plutot pas";10;"b-C";"b-C";-4,31464915690201
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";18;"a-PC";"a-PC";2,66502737300807
"IFSI";"F";"a-Pas du tout";"e-Tout a fait";10;"b-C";"c-P";-1,61899831094022
"IFSI";"F";"e-Tout a fait";"d-Plutot d'accord";12;"c-P";"b-C";-2,90419977548187
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";7;"a-PC";"b-C";-2,97888519761287
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";15;"a-PC";"a-PC";-6,3796857
"IFSI";"H";"e-Tout a fait";"d-Plutot d'accord";5;"c-P";"b-C";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"b-C";"b-C";-6,3796857
"IFSI";"H";"e-Tout a fait";"c-Entre les deux";10;"a-PC";"a-PC";-3,16919079491696
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";15;"b-C";"a-PC";-2,2759783654667
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";10;"a-PC";"a-PC";-2,7992949536619
"IFSI";"F";"c-Entre les deux";"b-Plutot pas";6;"b-C";"b-C";-2,36225523804499
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";10;"b-C";"a-PC";-2,7992949536619
"IFSI";"F";"b-Plutot pas";"d-Plutot d'accord";5;"a-PC";"b-C";-2,2759783654667
"IFSI";"F";"c-Entre les deux";"e-Tout a fait";25;"b-C";"b-C";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"e-Tout a fait";10;"b-C";"d-A";-1,14344764131192
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";5;"b-C";"b-C";-1,53989920302634
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";8;"a-PC";"b-C";-6,3796857
"IFSI";"H";"e-Tout a fait";"d-Plutot d'accord";14;"b-C";"c-P";-1,53989920302634
"IFSI";"F";"e-Tout a fait";"e-Tout a fait";10;"b-C";"b-C";-1,14344764131192
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";12;"b-C";"c-P";-2,36225523804499
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";7;"b-C";"a-PC";-1,53989920302634
"IFSI";"F";"d-Plutot d'accord";"d-Plutot d'accord";15;"b-C";"b-C";-2,90419977548187
"IFSI";"F";"b-Plutot pas";"c-Entre les deux";6;"a-PC";"c-P";-6,3796857
