HumeurAvant;HumeurAprès;Technique;Emotion
4,5;4,75;03-FilmColère;02-Colère
1,5;-0,5;03-FilmColère;02-Colère
3,88;2,25;03-FilmColère;02-Colère
3,38;-0,75;03-FilmColère;02-Colère
3,5;2,75;03-FilmColère;02-Colère
0,25;-3,25;03-FilmColère;02-Colère
4,13;1;03-FilmColère;02-Colère
3,75;3,88;03-FilmColère;02-Colère
3,25;2,5;02-MusiqueColère;02-Colère
0,63;0,75;02-MusiqueColère;02-Colère
3,88;1,5;02-MusiqueColère;02-Colère
4,13;3,63;02-MusiqueColère;02-Colère
1,5;0,38;02-MusiqueColère;02-Colère
2,88;2,25;02-MusiqueColère;02-Colère
2,13;-0,5;02-MusiqueColère;02-Colère
1,63;-1,13;02-MusiqueColère;02-Colère
2,88;1,13;02-MusiqueColère;02-Colère
2,5;2;01-MusiqueNeutre;01-Neutre
2,88;3,25;01-MusiqueNeutre;01-Neutre
2,13;4,25;01-MusiqueNeutre;01-Neutre
3,25;4,38;01-MusiqueNeutre;01-Neutre
1,13;1,63;01-MusiqueNeutre;01-Neutre
3,5;4,13;01-MusiqueNeutre;01-Neutre
-2,75;-2,75;01-MusiqueNeutre;01-Neutre
2,38;2,38;01-MusiqueNeutre;01-Neutre
2,63;1,5;01-MusiqueNeutre;01-Neutre
3,88;4;01-MusiqueNeutre;01-Neutre
2,5;-1,75;04-FilmInjustice;03-Injustice
3,75;-2;04-FilmInjustice;03-Injustice
4,63;1,5;04-FilmInjustice;03-Injustice
4,75;3,5;04-FilmInjustice;03-Injustice
2,75;-2,25;04-FilmInjustice;03-Injustice
4,25;0,75;04-FilmInjustice;03-Injustice
4;2,88;04-FilmInjustice;03-Injustice
2,88;-0,5;04-FilmInjustice;03-Injustice
3,63;-1,25;04-FilmInjustice;03-Injustice
1,63;-2,38;04-FilmInjustice;03-Injustice
