"latence";"temps";"loglat"
1464;4265;7,28892769452126
799;37361;6,68336094576627
690;45289;6,5366915975913
791;69826;6,67329796776765
641;109036;6,46302945692067
830;194347;6,72142570079064
490;202164;6,19440539110467
710;231626;6,56526497003536
576;270087;6,35610766069589
491;292533;6,19644412779452
597;315298;6,3919171133926
705;345654;6,55819780281227
497;360712;6,20859002609663
496;439759;6,20657592672493
510;462946;6,23441072571837
504;493134;6,22257626807137
490;516192;6,19440539110467
520;531297;6,25382881157547
522;562438;6,25766758788264
630;569935;6,44571981938558
