"COMBIN";"PROBA";"LOGI";"QI";"MATH";"PEDAG";"MILIEU";"GROUPE";"SCOREMATH"
3,9;4,1;6;99;8;"Moderne";"Fav";"G1";-1,06870228874899
5;5;5,2;122;10;"Moderne";"Fav";"G1";-0,507106003964109
5,3;8,5;8,6;108;14;"Moderne";"Fav";"G1";2,53313627955000
8,3;6,2;7,2;125;18;"Moderne";"Fav";"G1";2,63021111865969
5,5;6;6,9;108;5;"Moderne";"Defav";"G2";0,0860933159626726
6,6;7,7;5,8;113;7;"Moderne";"Defav";"G2";0,795436898625898
5,5;3;5,8;94;10;"Moderne";"Defav";"G2";-0,775732178902753
2,2;4,5;3,3;85;9;"Moderne";"Defav";"G2";-2,42370071463431
5,3;4,5;8,3;112;10;"Moderne";"Defav";"G2";0,637649269369102
5,3;6,4;6,5;125;12;"Moderne";"Defav";"G2";0,788041419960801
4,6;4,6;5,2;108;14;"Moderne";"Defav";"G2";-0,316036720240035
3,7;4,1;7,2;91;15;"Moderne";"Defav";"G2";0,127613809722664
4,1;6,7;7,1;91;6;"Traditionnelle";"Fav";"G3";0,0627865401449518
2,7;4,5;3;109;9;"Traditionnelle";"Fav";"G3";-2,38174226316118
6,8;4,5;7,1;125;12;"Traditionnelle";"Fav";"G3";0,871630937910521
2,7;3,7;6,9;94;13;"Traditionnelle";"Fav";"G3";-0,667335620841445
5,4;8,9;7,3;120;15;"Traditionnelle";"Fav";"G3";2,30107743459796
6,2;4,7;4,4;112;7;"Traditionnelle";"Defav";"G4";-0,875760259966115
2,5;4,7;7,2;106;11;"Traditionnelle";"Defav";"G4";-0,507609042121874
2,4;4,4;5,2;91;12;"Traditionnelle";"Defav";"G4";-1,30995193192344
