"Marque";"Femme";"Age"
"A";0;24
"A";0;26
"A";0;26
"A";1;27
"A";1;27
"C";1;27
"A";0;27
"A";0;27
"A";1;27
"A";0;27
"A";0;27
"A";1;27
"B";1;28
"C";1;28
"A";1;28
"A";0;28
"A";0;28
"B";1;28
"A";0;28
"A";0;28
"A";1;28
"A";1;28
"C";0;28
"A";1;28
"C";0;28
"A";1;28
"A";1;28
"A";1;29
"A";1;29
"A";1;29
"B";1;29
"A";1;29
"B";1;29
"B";0;29
"B";1;29
"A";1;29
"A";0;29
"A";0;29
"A";0;29
"A";1;29
"B";1;29
"A";0;29
"A";0;29
"A";1;29
"A";0;29
"A";0;29
"B";1;30
"C";0;30
"C";1;30
"A";0;30
"C";1;30
"B";1;30
"A";0;30
"A";1;30
"A";1;30
"A";1;30
"A";1;30
"C";1;30
"A";1;30
"A";1;30
"B";1;30
"A";1;30
"B";0;30
"B";0;30
"B";1;30
"A";1;30
"A";1;30
"A";1;30
"A";0;30
"A";1;31
"A";0;31
"C";1;31
"B";1;31
"B";0;31
"B";1;31
"C";1;31
"A";0;31
"B";1;31
"B";1;31
"A";0;31
"A";0;31
"A";1;31
"B";0;31
"C";1;31
"C";0;31
"A";0;31
"A";1;31
"A";1;31
"C";0;31
"B";0;31
"A";0;31
"B";1;31
"A";1;31
"C";1;31
"A";0;31
"A";1;31
"B";1;31
"A";0;31
"C";1;31
"A";0;31
"B";1;31
"B";0;31
"A";0;31
"B";1;31
"A";1;31
"B";1;31
"B";0;31
"A";1;31
"A";1;31
"B";0;32
"B";1;32
"A";1;32
"B";0;32
"B";0;32
"B";1;32
"B";1;32
"A";1;32
"A";0;32
"B";1;32
"B";1;32
"C";1;32
"B";1;32
"B";0;32
"B";1;32
"A";1;32
"A";1;32
"A";1;32
"A";1;32
"C";1;32
"B";1;32
"A";1;32
"B";1;32
"A";1;32
"B";1;32
"B";0;32
"A";1;32
"C";1;32
"B";1;32
"C";1;32
"A";1;32
"B";1;32
"A";1;32
"A";0;32
"B";1;32
"B";0;32
"B";1;32
"C";1;32
"C";1;32
"B";1;32
"C";0;32
"A";0;32
"B";1;32
"A";1;32
"B";1;32
"B";1;32
"B";1;32
"B";1;32
"A";1;32
