partnerStatus;conformity;fcategory;fscore;c1;c2
lowStatus;8;lowAuth;37;low/low;low/low/medium
lowStatus;4;highAuth;57;low/high;low/high
lowStatus;8;highAuth;65;low/high;low/high
lowStatus;7;lowAuth;20;low/low;low/low/medium
lowStatus;10;lowAuth;36;low/low;low/low/medium
lowStatus;6;lowAuth;18;low/low;low/low/medium
lowStatus;12;mediumAuth;51;low/medium;low/low/medium
lowStatus;4;mediumAuth;44;low/medium;low/low/medium
lowStatus;13;lowAuth;31;low/low;low/low/medium
lowStatus;12;lowAuth;36;low/low;low/low/medium
lowStatus;4;mediumAuth;42;low/medium;low/low/medium
lowStatus;13;highAuth;56;low/high;low/high
lowStatus;7;lowAuth;28;low/low;low/low/medium
lowStatus;9;mediumAuth;43;low/medium;low/low/medium
lowStatus;9;highAuth;65;low/high;low/high
lowStatus;24;highAuth;57;low/high;low/high
lowStatus;6;lowAuth;28;low/low;low/low/medium
lowStatus;7;highAuth;61;low/high;low/high
lowStatus;23;highAuth;57;low/high;low/high
lowStatus;13;highAuth;55;low/high;low/high
lowStatus;8;lowAuth;17;low/low;low/low/medium
lowStatus;12;lowAuth;35;low/low;low/low/medium
highStatus;19;highAuth;68;high/high;high/high
highStatus;12;mediumAuth;41;high/medium;high/medium
highStatus;21;lowAuth;16;high/low;high/low
highStatus;9;highAuth;63;high/high;high/high
highStatus;23;lowAuth;15;high/low;high/low
highStatus;7;highAuth;54;high/high;high/high
highStatus;17;mediumAuth;48;high/medium;high/medium
highStatus;14;mediumAuth;42;high/medium;high/medium
highStatus;11;highAuth;59;high/high;high/high
highStatus;16;mediumAuth;45;high/medium;high/medium
highStatus;15;lowAuth;30;high/low;high/low
highStatus;20;mediumAuth;44;high/medium;high/medium
highStatus;8;mediumAuth;42;high/medium;high/medium
highStatus;12;lowAuth;22;high/low;high/low
highStatus;14;highAuth;52;high/high;high/high
highStatus;14;mediumAuth;42;high/medium;high/medium
highStatus;17;mediumAuth;41;high/medium;high/medium
highStatus;7;mediumAuth;50;high/medium;high/medium
highStatus;17;mediumAuth;39;high/medium;high/medium
highStatus;13;highAuth;57;high/high;high/high
highStatus;16;lowAuth;35;high/low;high/low
highStatus;10;highAuth;52;high/high;high/high
highStatus;15;mediumAuth;44;high/medium;high/medium
