"Groupe";"Latence";"f2";"f1";"f1bis"
"1.M-S";3;"G1";"G1";"G123"
"1.M-S";5;"G1";"G1";"G123"
"1.M-S";1;"G1";"G1";"G123"
"1.M-S";8;"G1";"G1";"G123"
"1.M-S";1;"G1";"G1";"G123"
"1.M-S";1;"G1";"G1";"G123"
"1.M-S";4;"G1";"G1";"G123"
"1.M-S";9;"G1";"G1";"G123"
"2.M-M";2;"G2";"G23";"G123"
"2.M-M";12;"G2";"G23";"G123"
"2.M-M";13;"G2";"G23";"G123"
"2.M-M";6;"G2";"G23";"G123"
"2.M-M";10;"G2";"G23";"G123"
"2.M-M";7;"G2";"G23";"G123"
"2.M-M";11;"G2";"G23";"G123"
"2.M-M";19;"G2";"G23";"G123"
"3.S-S";14;"G3";"G23";"G123"
"3.S-S";6;"G3";"G23";"G123"
"3.S-S";12;"G3";"G23";"G123"
"3.S-S";4;"G3";"G23";"G123"
"3.S-S";19;"G3";"G23";"G123"
"3.S-S";3;"G3";"G23";"G123"
"3.S-S";9;"G3";"G23";"G123"
"3.S-S";21;"G3";"G23";"G123"
"4.S-M";29;"G45";"G45";"G45"
"4.S-M";20;"G45";"G45";"G45"
"4.S-M";36;"G45";"G45";"G45"
"4.S-M";21;"G45";"G45";"G45"
"4.S-M";25;"G45";"G45";"G45"
"4.S-M";18;"G45";"G45";"G45"
"4.S-M";26;"G45";"G45";"G45"
"4.S-M";17;"G45";"G45";"G45"
"5.Mc-M";24;"G45";"G45";"G45"
"5.Mc-M";26;"G45";"G45";"G45"
"5.Mc-M";40;"G45";"G45";"G45"
"5.Mc-M";32;"G45";"G45";"G45"
"5.Mc-M";20;"G45";"G45";"G45"
"5.Mc-M";33;"G45";"G45";"G45"
"5.Mc-M";27;"G45";"G45";"G45"
"5.Mc-M";30;"G45";"G45";"G45"
