name;education;income;women;prestige;census;type;logIncome;type2
GOV.ADMINISTRATORS;13,11;12351;11,16;68,8;1113;prof;9,42149231043801;prof
GENERAL.MANAGERS;12,26;25879;4,02;69,1;1130;prof;10,1611871079919;prof
ACCOUNTANTS;12,77;9271;15,7;63,4;1171;prof;9,13464652760698;prof
PURCHASING.OFFICERS;11,42;8865;9,11;56,8;1175;prof;9,08986621850831;prof
CHEMISTS;14,62;8403;11,68;73,5;2111;prof;9,03634406392822;prof
PHYSICISTS;15,64;11030;5,13;77,6;2113;prof;9,30837411224755;prof
BIOLOGISTS;15,09;8258;25,65;72,6;2133;prof;9,01893770644604;prof
ARCHITECTS;15,44;14163;2,69;78,1;2141;prof;9,5583882092144;prof
CIVIL.ENGINEERS;14,52;11377;1,03;73,1;2143;prof;9,33934905253972;prof
MINING.ENGINEERS;14,64;11023;0,94;68,8;2153;prof;9,30773927796332;prof
SURVEYORS;12,39;5902;1,91;62;2161;prof;8,68304655550289;prof
DRAUGHTSMEN;12,3;7059;7,83;60;2163;prof;8,86205867739547;prof
COMPUTER.PROGRAMERS;13,83;8425;15,33;53,8;2183;prof;9,03895875522056;prof
ECONOMISTS;14,44;8049;57,31;62,2;2311;prof;8,99330313909373;prof
PSYCHOLOGISTS;14,36;7405;48,28;74,9;2315;prof;8,9099107267019;prof
SOCIAL.WORKERS;14,21;6336;54,77;55,1;2331;prof;8,75400293349426;prof
LAWYERS;15,77;19263;5,13;82,3;2343;prof;9,86594143646216;prof
LIBRARIANS;14,15;6112;77,1;58,1;2351;prof;8,71800933084636;prof
VOCATIONAL.COUNSELLORS;15,22;9593;34,89;58,3;2391;prof;9,16878894481795;prof
MINISTERS;14,5;4686;4,14;72,8;2511;prof;8,45233461906774;prof
UNIVERSITY.TEACHERS;15,97;12480;19,59;84,6;2711;prof;9,43188264192342;prof
PRIMARY.SCHOOL.TEACHERS;13,62;5648;83,78;59,6;2731;prof;8,63905677917308;prof
SECONDARY.SCHOOL.TEACHERS;15,08;8034;46,8;66,1;2733;prof;8,99143781491923;prof
PHYSICIANS;15,96;25308;10,56;87,2;3111;prof;10,1388758302668;prof
VETERINARIANS;15,94;14558;4,32;66,7;3115;prof;9,5858959496782;prof
OSTEOPATHS.CHIROPRACTORS;14,71;17498;6,91;68,4;3117;prof;9,7698418676662;prof
NURSES;12,46;4614;96,12;64,7;3131;prof;8,4368504387337;prof
