prestige;Intercept;education
68,8;1;13,11
69,1;1;12,26
63,4;1;12,77
56,8;1;11,42
73,5;1;14,62
77,6;1;15,64
72,6;1;15,09
78,1;1;15,44
73,1;1;14,52
68,8;1;14,64
62;1;12,39
60;1;12,3
53,8;1;13,83
62,2;1;14,44
74,9;1;14,36
55,1;1;14,21
82,3;1;15,77
58,1;1;14,15
58,3;1;15,22
72,8;1;14,5
84,6;1;15,97
59,6;1;13,62
66,1;1;15,08
87,2;1;15,96
66,7;1;15,94
68,4;1;14,71
64,7;1;12,46
34,9;1;9,45
72,1;1;13,62
69,3;1;15,21
67,5;1;12,79
57,2;1;11,09
57,6;1;12,71
46;1;11,59
41,9;1;11,49
49,4;1;11,32
42,3;1;10,64
47,7;1;11,36
30,9;1;9,17
32,7;1;12,09
38,7;1;11,04
36,1;1;9,22
37,2;1;10,07
38,1;1;10,51
29,4;1;11,2
51,1;1;11,13
35,7;1;11,43
35,6;1;11
41,5;1;9,84
40,2;1;11,13
26,5;1;10,05
23,3;1;9,93
47,3;1;11,6
47,1;1;11,09
51,1;1;11,03
43,5;1;9,47
51,6;1;10,93
29,7;1;7,74
20,2;1;8,5
54,9;1;10,57
20,8;1;7,33
17,3;1;7,11
20,1;1;7,58
21,5;1;8,6
35,3;1;8,88
38,9;1;7,54
25,2;1;7,64
34,8;1;7,64
23,2;1;7,42
33,3;1;6,69
28,8;1;6,74
42,5;1;10,09
44,2;1;8,81
35,9;1;8,4
41,8;1;7,92
35,9;1;8,43
43,7;1;8,78
50,8;1;8,76
37,2;1;10,29
28,2;1;6,38
38,1;1;8,1
50,3;1;10,1
27,3;1;6,67
40,9;1;9,05
50,2;1;9,93
51,1;1;8,24
38,9;1;6,92
36,2;1;6,6
29,9;1;7,81
42,9;1;8,33
26,5;1;7,52
66,1;1;12,27
48,9;1;8,49
35,9;1;7,58
25,1;1;7,93
26,1;1;8,37
42,2;1;10
35,2;1;8,55
