"Groupe";"IDM"
"EXP";96
"EXP";127
"EXP";127
"EXP";137
"EXP";114
"EXP";119
"EXP";109
"EXP";109
"EXP";143
"EXP";109
"EXP";116
"EXP";114
"EXP";143
"EXP";109
"EXP";117
"EXP";127
"EXP";112
"EXP";112
"EXP";98
"EXP";137
"EXP";112
"EXP";109
"EXP";119
"EXP";106
"EXP";109
"TEM";114
"TEM";88
"TEM";102
"TEM";127
"TEM";104
"TEM";104
"TEM";91
"TEM";96
"TEM";104
"TEM";106
"TEM";91
"TEM";102
"TEM";104
"TEM";100
"TEM";114
"TEM";109
"TEM";109
"TEM";119
"TEM";91
"TEM";81
"TEM";114
"TEM";119
"TEM";102
"TEM";111
"TEM";80
"TEM";119
"TEM";119
"TEM";123
"TEM";119
"TEM";114
"TEM";132
