"Statut";"Motif";"n";"fs";"fh"
"Abstinent";"EMONEG";24;"pi1";"pi1"
"Abstinent";"MANQUE";1;"pi2";"pi2"
"Abstinent";"EMOPOS";2;"pi3";"pi3"
"Abstinent";"TESTCONTROL";1;"pi4";"pi4"
"Abstinent";"ENVIE";25;"pi5";"pi5"
"Abstinent";"CONFLITPERSO";11;"pi6";"pi6"
"Abstinent";"PRESSSOC";20;"pi7";"pi7"
"Abstinent";"EMOPOSSOC";1;"pi8";"pi8"
"Ecart";"EMONEG";14;"pi9";"pi1"
"Ecart";"MANQUE";0;"pi10";"pi2"
"Ecart";"EMOPOS";1;"pi11";"pi3"
"Ecart";"TESTCONTROL";5;"pi12";"pi4"
"Ecart";"ENVIE";8;"pi13";"pi5"
"Ecart";"CONFLITPERSO";7;"pi14";"pi6"
"Ecart";"PRESSSOC";23;"pi15";"pi7"
"Ecart";"EMOPOSSOC";2;"pi16";"pi8"
"Rechute";"EMONEG";138;"pi17";"pi1"
"Rechute";"MANQUE";34;"pi18";"pi2"
"Rechute";"EMOPOS";6;"pi19";"pi3"
"Rechute";"TESTCONTROL";12;"pi20";"pi4"
"Rechute";"ENVIE";48;"pi21";"pi5"
"Rechute";"CONFLITPERSO";93;"pi22";"pi6"
"Rechute";"PRESSSOC";117;"pi23";"pi7"
"Rechute";"EMOPOSSOC";3;"pi24";"pi8"
