"Sujet";"Groupe";"Apprentissage";"Changement";"Essai";"Mission";"Duree";"FinEssai";"NbStop";"NbArriere";"Orientation";"Phase"
"s1";"V-V";"Virtuel";"Non";1;"A";847244;847244;4;0;0,428;"Phase1"
"s1";"V-V";"Virtuel";"Non";2;"B";135746;982990;16;2;-0,062;"Phase1"
"s1";"V-V";"Virtuel";"Non";3;"C";300158;1283148;22;7;-0,142;"Phase1"
"s1";"V-V";"Virtuel";"Non";4;"A";242715;1525863;24;3;-0,309;"Phase1"
"s1";"V-V";"Virtuel";"Non";5;"C";142260;1668123;12;1;0,047;"Phase1"
"s1";"V-V";"Virtuel";"Non";6;"B";66933;1735056;5;1;-0,182;"Phase1"
"s1";"V-V";"Virtuel";"Non";7;"B";80110;1815166;4;0;-0,021;"Phase2"
"s1";"V-V";"Virtuel";"Non";8;"A";102632;1917798;6;0;-0,262;"Phase2"
"s1";"V-V";"Virtuel";"Non";9;"C";69980;1987778;6;0;0,076;"Phase2"
"s1";"V-V";"Virtuel";"Non";10;"B";76512;2064290;7;0;-0,032;"Phase2"
"s1";"V-V";"Virtuel";"Non";11;"C";66221;2130511;3;0;0,071;"Phase2"
"s1";"V-V";"Virtuel";"Non";12;"A";71841;2202352;7;1;-0,014;"Phase2"
"s2";"V-V";"Virtuel";"Non";1;"A";308136;308136;15;2;-0,545;"Phase1"
"s2";"V-V";"Virtuel";"Non";2;"C";518521;826657;28;7;0,059;"Phase1"
"s2";"V-V";"Virtuel";"Non";3;"B";658947;1485604;36;5;-0,116;"Phase1"
"s2";"V-V";"Virtuel";"Non";4;"B";160312;1645916;11;0;-0,118;"Phase1"
"s2";"V-V";"Virtuel";"Non";5;"A";358198;2004114;21;2;0,314;"Phase1"
"s2";"V-V";"Virtuel";"Non";6;"C";104072;2108186;8;0;0,063;"Phase1"
"s2";"V-V";"Virtuel";"Non";7;"B";103179;2211365;9;0;-0,121;"Phase2"
"s2";"V-V";"Virtuel";"Non";8;"C";188352;2399717;16;1;0,036;"Phase2"
"s2";"V-V";"Virtuel";"Non";9;"A";97015;2496732;14;0;0,05;"Phase2"
"s2";"V-V";"Virtuel";"Non";10;"C";90560;2587292;10;0;-0,013;"Phase2"
"s2";"V-V";"Virtuel";"Non";11;"A";81144;2668436;8;0;0,029;"Phase2"
"s2";"V-V";"Virtuel";"Non";12;"B";92595;2761031;9;0;-0,016;"Phase2"
"s3";"V-V";"Virtuel";"Non";1;"B";724654;724654;21;7;-6,247;"Phase1"
"s3";"V-V";"Virtuel";"Non";2;"A";278241;1002895;25;6;-0,196;"Phase1"
"s3";"V-V";"Virtuel";"Non";3;"C";140829;1143724;10;0;0,013;"Phase1"
"s3";"V-V";"Virtuel";"Non";4;"B";187914;1331638;21;3;-0,149;"Phase1"
"s3";"V-V";"Virtuel";"Non";5;"C";74349;1405987;6;0;0,058;"Phase1"
"s3";"V-V";"Virtuel";"Non";6;"A";234384;1640371;13;12;-0,281;"Phase1"
"s3";"V-V";"Virtuel";"Non";7;"C";122674;1763045;10;1;0,019;"Phase2"
"s3";"V-V";"Virtuel";"Non";8;"A";178212;1941257;8;0;-0,239;"Phase2"
"s3";"V-V";"Virtuel";"Non";9;"B";220528;2161785;10;0;-0,204;"Phase2"
"s3";"V-V";"Virtuel";"Non";10;"C";95829;2257614;7;0;0,032;"Phase2"
"s3";"V-V";"Virtuel";"Non";11;"B";226456;2484070;13;0;-0,244;"Phase2"
"s3";"V-V";"Virtuel";"Non";12;"A";235839;2719909;11;0;-0,349;"Phase2"
"s4";"V-V";"Virtuel";"Non";1;"B";243029;243029;7;0;-0,112;"Phase1"
"s4";"V-V";"Virtuel";"Non";2;"C";101750;344779;9;1;0,056;"Phase1"
"s4";"V-V";"Virtuel";"Non";3;"A";152977;497756;15;1;-0,334;"Phase1"
"s4";"V-V";"Virtuel";"Non";4;"C";94238;591994;5;0;0,071;"Phase1"
"s4";"V-V";"Virtuel";"Non";5;"A";113616;705610;10;0;-0,07;"Phase1"
"s4";"V-V";"Virtuel";"Non";6;"B";68034;773644;7;0;-0,149;"Phase1"
"s4";"V-V";"Virtuel";"Non";7;"C";65159;838803;6;0;0,054;"Phase2"
"s4";"V-V";"Virtuel";"Non";8;"B";78252;917055;8;0;-0,085;"Phase2"
"s4";"V-V";"Virtuel";"Non";9;"A";78950;996005;5;0;-0,088;"Phase2"
"s4";"V-V";"Virtuel";"Non";10;"A";77901;1073906;4;0;-0,071;"Phase2"
"s4";"V-V";"Virtuel";"Non";11;"B";76534;1150440;4;0;0,002;"Phase2"
"s4";"V-V";"Virtuel";"Non";12;"C";65383;1215823;3;0;0,037;"Phase2"
"s5";"V-V";"Virtuel";"Non";1;"C";674911;674911;10;3;0,148;"Phase1"
"s5";"V-V";"Virtuel";"Non";2;"A";331728;1006639;16;1;-0,139;"Phase1"
"s5";"V-V";"Virtuel";"Non";3;"B";128442;1135081;4;0;-0,258;"Phase1"
"s5";"V-V";"Virtuel";"Non";4;"C";194889;1329970;4;0;0,232;"Phase1"
"s5";"V-V";"Virtuel";"Non";5;"B";146360;1476330;3;1;-0,223;"Phase1"
"s5";"V-V";"Virtuel";"Non";6;"A";244156;1720486;10;1;-0,382;"Phase1"
"s5";"V-V";"Virtuel";"Non";7;"A";284610;2005096;16;1;-0,258;"Phase2"
"s5";"V-V";"Virtuel";"Non";8;"B";99357;2104453;8;1;-0,505;"Phase2"
"s5";"V-V";"Virtuel";"Non";9;"C";87182;2191635;1;0;0;"Phase2"
"s5";"V-V";"Virtuel";"Non";10;"A";240571;2432206;8;0;-0,315;"Phase2"
"s5";"V-V";"Virtuel";"Non";11;"C";90473;2522679;1;0;0;"Phase2"
"s5";"V-V";"Virtuel";"Non";12;"B";116099;2638778;3;0;-0,516;"Phase2"
"s6";"V-V";"Virtuel";"Non";1;"C";141047;141047;5;0;0,129;"Phase1"
"s6";"V-V";"Virtuel";"Non";2;"B";155931;296978;12;2;-0,101;"Phase1"
"s6";"V-V";"Virtuel";"Non";3;"A";181778;478756;13;0;-0,245;"Phase1"
"s6";"V-V";"Virtuel";"Non";4;"A";148259;627015;12;1;-0,049;"Phase1"
"s6";"V-V";"Virtuel";"Non";5;"B";121074;748089;14;0;-0,032;"Phase1"
"s6";"V-V";"Virtuel";"Non";6;"C";74154;822243;6;0;0,065;"Phase1"
"s6";"V-V";"Virtuel";"Non";7;"A";77250;899493;7;0;-0,149;"Phase2"
"s6";"V-V";"Virtuel";"Non";8;"C";65881;965374;5;0;0,042;"Phase2"
"s6";"V-V";"Virtuel";"Non";9;"B";70166;1035540;7;0;0,019;"Phase2"
"s6";"V-V";"Virtuel";"Non";10;"B";73325;1108865;5;0;0,059;"Phase2"
"s6";"V-V";"Virtuel";"Non";11;"A";90818;1199683;11;0;-0,025;"Phase2"
"s6";"V-V";"Virtuel";"Non";12;"C";59297;1258980;5;0;0,099;"Phase2"
"s7";"V-V";"Virtuel";"Non";1;"A";342852;342852;33;8;-0,47;"Phase1"
"s7";"V-V";"Virtuel";"Non";2;"B";258315;601167;5;1;-0,238;"Phase1"
"s7";"V-V";"Virtuel";"Non";3;"C";193178;794345;6;0;-0,045;"Phase1"
"s7";"V-V";"Virtuel";"Non";4;"A";331831;1126176;17;0;-0,328;"Phase1"
"s7";"V-V";"Virtuel";"Non";5;"C";177084;1303260;10;0;0,07;"Phase1"
"s7";"V-V";"Virtuel";"Non";6;"B";73833;1377093;5;0;-0,106;"Phase1"
"s7";"V-V";"Virtuel";"Non";7;"B";117008;1494101;8;0;-0,279;"Phase2"
"s7";"V-V";"Virtuel";"Non";8;"A";172369;1666470;14;0;-0,448;"Phase2"
"s7";"V-V";"Virtuel";"Non";9;"C";72133;1738603;4;0;0,122;"Phase2"
"s7";"V-V";"Virtuel";"Non";10;"B";283618;2022221;14;0;-0,333;"Phase2"
"s7";"V-V";"Virtuel";"Non";11;"C";148055;2170276;2;0;0;"Phase2"
"s7";"V-V";"Virtuel";"Non";12;"A";174735;2345011;6;0;-0,408;"Phase2"
"s8";"V-V";"Virtuel";"Non";1;"A";367771;367771;18;1;-0,303;"Phase1"
"s8";"V-V";"Virtuel";"Non";2;"C";111290;479061;8;0;0,05;"Phase1"
"s8";"V-V";"Virtuel";"Non";3;"B";179328;658389;9;1;-0,185;"Phase1"
"s8";"V-V";"Virtuel";"Non";4;"B";108626;767015;9;0;-0,204;"Phase1"
"s8";"V-V";"Virtuel";"Non";5;"A";192643;959658;11;0;-0,269;"Phase1"
"s8";"V-V";"Virtuel";"Non";6;"C";176794;1136452;4;0;0,054;"Phase1"
"s8";"V-V";"Virtuel";"Non";7;"B";157178;1293630;5;0;-0,169;"Phase2"
"s8";"V-V";"Virtuel";"Non";8;"C";98311;1391941;5;0;0,056;"Phase2"
"s8";"V-V";"Virtuel";"Non";9;"A";81691;1473632;6;0;-0,259;"Phase2"
"s8";"V-V";"Virtuel";"Non";10;"C";62914;1536546;2;0;0,052;"Phase2"
"s8";"V-V";"Virtuel";"Non";11;"A";242050;1778596;4;0;-0,237;"Phase2"
"s8";"V-V";"Virtuel";"Non";12;"B";91407;1870003;4;0;-0,16;"Phase2"
"s9";"V-V";"Virtuel";"Non";1;"B";305920;305920;30;5;-0,035;"Phase1"
"s9";"V-V";"Virtuel";"Non";2;"A";194385;500305;24;6;-0,038;"Phase1"
"s9";"V-V";"Virtuel";"Non";3;"C";85897;586202;5;0;0;"Phase1"
"s9";"V-V";"Virtuel";"Non";4;"B";86816;673018;7;1;0;"Phase1"
"s9";"V-V";"Virtuel";"Non";5;"C";85468;758486;2;0;0;"Phase1"
"s9";"V-V";"Virtuel";"Non";6;"A";109503;867989;12;1;-0,094;"Phase1"
"s9";"V-V";"Virtuel";"Non";7;"C";75975;943964;1;0;0;"Phase2"
"s9";"V-V";"Virtuel";"Non";8;"A";78132;1022096;9;0;-0,017;"Phase2"
"s9";"V-V";"Virtuel";"Non";9;"B";78942;1101038;12;0;-0,098;"Phase2"
"s9";"V-V";"Virtuel";"Non";10;"C";56836;1157874;2;0;0;"Phase2"
"s9";"V-V";"Virtuel";"Non";11;"B";65483;1223357;6;0;-0,06;"Phase2"
"s9";"V-V";"Virtuel";"Non";12;"A";70645;1294002;9;0;-0,078;"Phase2"
"s10";"V-V";"Virtuel";"Non";1;"B";832578;832578;23;6;0,12;"Phase1"
"s10";"V-V";"Virtuel";"Non";2;"C";164425;997003;10;0;0,068;"Phase1"
"s10";"V-V";"Virtuel";"Non";3;"A";194610;1191613;12;0;-0,305;"Phase1"
"s10";"V-V";"Virtuel";"Non";4;"C";102119;1293732;7;0;0,044;"Phase1"
"s10";"V-V";"Virtuel";"Non";5;"A";253655;1547387;15;3;-0,242;"Phase1"
"s10";"V-V";"Virtuel";"Non";6;"B";173911;1721298;8;0;-0,18;"Phase1"
"s10";"V-V";"Virtuel";"Non";7;"C";116861;1838159;3;0;0,188;"Phase2"
