groupe;nombre
mois8;19
mois8;27
mois8;41
mois8;36
mois8;25
mois8;26
mois8;44
mois8;33
mois8;41
mois8;33
mois8;28
mois8;45
mois8;33
mois8;38
mois8;46
mois8;42
mois8;49
mois8;38
mois8;45
mois8;51
mois8;35
mois8;28
mois8;34
mois8;48
mois8;35
mois8;38
mois8;40
mois8;26
mois8;31
mois8;31
mois12;23
mois12;25
mois12;43
mois12;51
mois12;54
mois12;44
mois12;39
mois12;54
mois12;37
mois12;33
mois12;44
mois12;52
mois12;34
mois12;52
mois12;34
mois12;44
mois12;52
mois12;26
mois12;26
mois12;48
mois12;30
mois12;43
mois12;29
mois12;48
mois12;43
mois12;58
mois12;39
mois12;31
mois12;39
mois12;59
